schema_version,planner,injected_bias_axis,injected_bias_sign,injected_bias_magnitude,episode_id,seed,trial,correction_axis,correction_direction,correction_magnitude,success,steps,episode_return,elapsed_time_ms,final_object_goal_distance,minimum_gripper_object_distance,object_displacement,progress_to_goal,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,trajectory_path,video_path,probe_environment_steps,correction_schedule,approach_steps,push_steps,near_goal_steps
1,probe_rule,x,positive,0.145,1,103,1,none,none,0.0,False,500,103.76777475232579,652.5569001678377,0.19264108613459566,0.038410597067861346,0.05396843736672291,0.03598123209864526,50,0.1,50,0.025,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed103_trial01.jsonl,,0,phase_aware,73,427,0
1,probe_rule,x,positive,0.145,1,103,2,x,negative,0.1,True,69,196.96057504414853,82.60240009985864,0.04993429508524688,0.03467560848477878,0.18572822170634823,0.17868802314799404,30,0.43478260869565216,30,0.10869565217391304,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed103_trial02.jsonl,,32,phase_aware,34,29,6
1,probe_rule,x,positive,0.145,2,107,1,none,none,0.0,False,500,428.0808628990013,616.781699936837,0.08346665806897478,0.03611047418058722,0.1536346330157256,0.14281751605104354,56,0.112,56,0.028,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed107_trial01.jsonl,,0,phase_aware,83,352,65
1,probe_rule,x,positive,0.145,2,107,2,x,negative,0.1,True,68,211.3407635635366,87.2693001292646,0.049354699500828686,0.033797527298082705,0.18363307797477355,0.17692947461918962,31,0.45588235294117646,31,0.11397058823529412,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed107_trial02.jsonl,,32,phase_aware,32,30,6
1,probe_rule,x,positive,0.145,3,108,1,none,none,0.0,False,500,317.0842017046811,640.7759999856353,0.27826948795771383,0.04729598153208292,0.009422906106935462,-0.004166205200424378,42,0.084,42,0.021,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed108_trial01.jsonl,,0,phase_aware,68,432,0
1,probe_rule,x,positive,0.145,3,108,2,x,negative,0.1,True,62,189.70498465411313,79.11469996906817,0.04880145017772734,0.030320853296013944,0.23001155083368643,0.2253018325795621,30,0.4838709677419355,40,0.16129032258064516,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed108_trial02.jsonl,,32,phase_aware,29,28,5
1,probe_rule,x,positive,0.145,4,144,1,none,none,0.0,False,500,103.77116277822292,530.3756999783218,0.528797838726978,0.038110404014193106,0.404570464366078,-0.22149764281700945,58,0.116,60,0.03,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed144_trial01.jsonl,,0,phase_aware,458,42,0
1,probe_rule,x,positive,0.145,4,144,2,x,negative,0.1,True,200,839.7493894747324,235.4909998830408,0.04498921441378787,0.03487685683233386,0.26521832832535036,0.2623109814961807,68,0.34,78,0.0975,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed144_trial02.jsonl,,32,phase_aware,69,127,4
1,probe_rule,x,positive,0.145,5,148,1,none,none,0.0,False,500,127.7693019448989,641.7386000975966,0.2464877377635583,0.038581940031973155,0.0483316398890067,0.023273149125752846,50,0.1,52,0.026,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed148_trial01.jsonl,,0,phase_aware,72,428,0
1,probe_rule,x,positive,0.145,5,148,2,x,negative,0.1,True,181,565.8596538656841,205.12779988348484,0.04801166990074631,0.03473081174596342,0.22272144519884926,0.22174921698856484,69,0.3812154696132597,78,0.10773480662983426,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\phase_aware\probe_rule_seed148_trial02.jsonl,,32,phase_aware,70,107,4
