schema_version,seed,direction,commanded_action,steps,start_gripper_position,end_gripper_position,gripper_displacement,minimum_gripper_object_distance,object_displacement
1,103,x_positive,"[0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.018803042253640993, 0.5993625393551477, 0.19468102522280356]","[0.014218841829251603, -0.0020255742708416014, -0.00046242969490070673]",0.20159244670191515,1.2449455437717876e-05
1,103,x_negative,"[-0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[-0.0006540955134973921, 0.6003408394213989, 0.19425509204600944]","[-0.005238295937886783, -0.0010472742045903871, -0.0008883628716948311]",0.19977640113548717,1.2449455435244e-05
1,103,y_positive,"[0.0, 0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.008787230948381915, 0.6089871175703565, 0.19439844205766732]","[0.004203030523992525, 0.007599003944367189, -0.0007450128600369477]",0.1993395235342033,1.2449455436382549e-05
1,103,y_negative,"[0.0, -0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.009372179957175382, 0.5907155392347171, 0.19452853170840734]","[0.004787979532785992, -0.010672574391272227, -0.0006149232092969303]",0.20159244670191515,1.2449455435760308e-05
1,107,x_positive,"[0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.018803042253640993, 0.5993625393551477, 0.19468102522280356]","[0.014218841829251603, -0.0020255742708416014, -0.00046242969490070673]",0.1929920101981905,4.888526213150193e-06
1,107,x_negative,"[-0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[-0.0006540955134973921, 0.6003408394213989, 0.19425509204600944]","[-0.005238295937886783, -0.0010472742045903871, -0.0008883628716948311]",0.19174862007419052,4.888526213093646e-06
1,107,y_positive,"[0.0, 0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.008787230948381915, 0.6089871175703565, 0.19439844205766732]","[0.004203030523992525, 0.007599003944367189, -0.0007450128600369477]",0.1903476659067568,4.888526213139413e-06
1,107,y_negative,"[0.0, -0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.009372179957175394, 0.5907155392347172, 0.19452853170840734]","[0.004787979532786004, -0.010672574391272116, -0.0006149232092969303]",0.1929920101981905,4.8885262128912714e-06
1,108,x_positive,"[0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.018803042253640993, 0.5993625393551477, 0.19468102522280356]","[0.014218841829251603, -0.0020255742708416014, -0.00046242969490070673]",0.1844293929083532,1.4844520804250914e-05
1,108,x_negative,"[-0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[-0.0006540955134973921, 0.6003408394213989, 0.19425509204600944]","[-0.005238295937886783, -0.0010472742045903871, -0.0008883628716948311]",0.1893022623837237,1.4844520804814758e-05
