noise_std,seed,success,steps,final_object_goal_distance,clipped_step_fraction,clipped_element_fraction
0.25,300,True,73,0.049033795831713425,0.5616438356164384,0.1404109589041096
0.25,301,True,65,0.04735852285345188,0.49230769230769234,0.12307692307692308
0.25,302,True,67,0.04672945987756887,0.417910447761194,0.1044776119402985
0.25,303,True,63,0.046697112115260765,0.4603174603174603,0.14682539682539683
0.25,304,True,58,0.04724850352960799,0.4827586206896552,0.15517241379310345
0.25,305,True,69,0.04581226315461295,0.42028985507246375,0.13043478260869565
0.25,306,True,77,0.049899842073991875,0.5584415584415584,0.16233766233766234
0.25,307,True,67,0.049074484905586344,0.44776119402985076,0.11194029850746269
0.25,308,True,62,0.04844810118568214,0.46774193548387094,0.11693548387096774
0.25,309,True,58,0.04752603812628979,0.43103448275862066,0.10775862068965517
0.3,300,True,74,0.04802467759252493,0.5675675675675675,0.14189189189189189
0.3,301,True,67,0.04730461691926998,0.47761194029850745,0.11940298507462686
0.3,302,True,67,0.04640250887002335,0.417910447761194,0.1044776119402985
0.3,303,True,117,0.049091682287373,0.3418803418803419,0.11538461538461539
0.3,304,True,60,0.048045189186466664,0.4666666666666667,0.15416666666666667
0.3,305,True,90,0.04758114979534986,0.3333333333333333,0.10833333333333334
0.3,306,True,81,0.04947619692141504,0.5802469135802469,0.1728395061728395
0.3,307,True,69,0.0471089151861721,0.43478260869565216,0.10869565217391304
0.3,308,True,62,0.04550257498986007,0.45161290322580644,0.11290322580645161
0.3,309,True,58,0.048283105707694396,0.46551724137931033,0.11637931034482758
0.35,300,True,79,0.047904001379908114,0.5443037974683544,0.1360759493670886
0.35,301,True,69,0.04743951337175855,0.4927536231884058,0.13043478260869565
0.35,302,True,122,0.049632011082678645,0.2459016393442623,0.06147540983606557
0.35,303,True,121,0.04673143721234019,0.33884297520661155,0.11363636363636363
0.35,304,True,60,0.04875079764584726,0.5,0.1625
0.35,305,True,97,0.04629235494473166,0.28865979381443296,0.09536082474226804
0.35,306,True,83,0.048720651970902425,0.5903614457831325,0.1746987951807229
0.35,307,True,71,0.04659734603829548,0.5352112676056338,0.13732394366197184
0.35,308,True,62,0.045576811496816375,0.4838709677419355,0.12096774193548387
0.35,309,True,58,0.04931452840478711,0.5172413793103449,0.12931034482758622
0.4,300,True,82,0.04933985828221402,0.5853658536585366,0.14939024390243902
0.4,301,True,69,0.04969313268446038,0.5072463768115942,0.13405797101449277
