condition_id,seed,is_stochastic_ood,probe_environment_steps,repeat_count,estimated_bias_mean,estimated_bias_std,estimated_bias_std_norm,relative_bias_std,mean_estimation_residual,dominant_axis_sign_agreement
fault_01,300,False,64,4,"(0.09892026427703751, -0.09692517904667385)","(0.0, 0.0)",0.0,0.0,3.19023642389303e-07,1.0
fault_01,301,False,64,4,"(0.09892026427703751, -0.09692517904667385)","(0.0, 0.0)",0.0,0.0,3.19023642389303e-07,1.0
fault_01,302,False,64,4,"(0.09892026427703751, -0.09692517904667385)","(0.0, 0.0)",0.0,0.0,3.19023642389303e-07,1.0
fault_01,303,False,64,4,"(0.09892026427703751, -0.09692517904667385)","(0.0, 0.0)",0.0,0.0,3.19023642389303e-07,1.0
fault_01,304,False,64,4,"(0.09892026427703751, -0.09692517904667385)","(0.0, 0.0)",0.0,0.0,3.19023642389303e-07,1.0
fault_01,305,False,64,4,"(0.09892026427703751, -0.09692517904667385)","(0.0, 0.0)",0.0,0.0,3.19023642389303e-07,1.0
fault_01,306,False,64,4,"(0.09892026427703751, -0.09692517904667385)","(0.0, 0.0)",0.0,0.0,3.19023642389303e-07,1.0
fault_01,307,False,64,4,"(0.09892026427703834, -0.096925179046678)","(0.0, 0.0)",0.0,0.0,3.1902364240942543e-07,1.0
fault_01,308,False,64,4,"(0.09892026427703751, -0.09692517904667385)","(0.0, 0.0)",0.0,0.0,3.19023642389303e-07,1.0
fault_01,309,False,64,4,"(0.09892026427703751, -0.09692517904667385)","(0.0, 0.0)",0.0,0.0,3.19023642389303e-07,1.0
fault_02,300,False,64,4,"(-0.22594369080580382, -0.05515602430108496)","(0.0, 0.0)",0.0,0.0,3.2880281707465455e-07,1.0
fault_02,301,False,64,4,"(-0.22594369080580382, -0.05515602430108496)","(0.0, 0.0)",0.0,0.0,3.2880281707465455e-07,1.0
fault_02,302,False,64,4,"(-0.22594369080580431, -0.05515602430108589)","(0.0, 0.0)",0.0,0.0,3.288028170615893e-07,1.0
fault_02,303,False,64,4,"(-0.22594369080580431, -0.05515602430108589)","(0.0, 0.0)",0.0,0.0,3.288028170615893e-07,1.0
fault_02,304,False,64,4,"(-0.22594369080580542, -0.05515602430107852)","(0.0, 0.0)",0.0,0.0,3.288028170891537e-07,1.0
fault_02,305,False,64,4,"(-0.22594369080580382, -0.05515602430108496)","(0.0, 0.0)",0.0,0.0,3.2880281707465455e-07,1.0
fault_02,306,False,64,4,"(-0.22594369080580382, -0.05515602430108496)","(0.0, 0.0)",0.0,0.0,3.2880281707465455e-07,1.0
fault_02,307,False,64,4,"(-0.22594369080580431, -0.05515602430108589)","(0.0, 0.0)",0.0,0.0,3.288028170615893e-07,1.0
fault_02,308,False,64,4,"(-0.22594369080580431, -0.05515602430108589)","(0.0, 0.0)",0.0,0.0,3.288028170615893e-07,1.0
fault_02,309,False,64,4,"(-0.22594369080580382, -0.05515602430108496)","(0.0, 0.0)",0.0,0.0,3.2880281707465455e-07,1.0
fault_03,300,False,64,4,"(-0.02883303259402412, -0.27596183986525546)","(0.0, 0.0)",0.0,0.0,3.2520441745378965e-07,1.0
fault_03,301,False,64,4,"(-0.02883303259402412, -0.27596183986525546)","(0.0, 0.0)",0.0,0.0,3.2520441745378965e-07,1.0
fault_03,302,False,64,4,"(-0.028833032594023603, -0.27596183986525546)","(0.0, 0.0)",0.0,0.0,3.25204417452004e-07,1.0
fault_03,303,False,64,4,"(-0.02883303259402188, -0.27596183986525546)","(0.0, 0.0)",0.0,0.0,3.25204417446052e-07,1.0
fault_03,304,False,64,4,"(-0.02883303259402412, -0.27596183986525546)","(0.0, 0.0)",0.0,0.0,3.2520441745378965e-07,1.0
fault_03,305,False,64,4,"(-0.02883303259402412, -0.27596183986525546)","(0.0, 0.0)",0.0,0.0,3.2520441745378965e-07,1.0
fault_03,306,False,64,4,"(-0.028833032594022395, -0.27596183986525546)","(0.0, 0.0)",0.0,0.0,3.252044174478376e-07,1.0
fault_03,307,False,64,4,"(-0.02883303259402412, -0.27596183986525546)","(0.0, 0.0)",0.0,0.0,3.2520441745378965e-07,1.0
fault_03,308,False,64,4,"(-0.02883303259402412, -0.27596183986525546)","(0.0, 0.0)",0.0,0.0,3.2520441745378965e-07,1.0
