method,condition_id,seed,recovery_success,strategy,retry_seed,consistency_score,recovery_environment_steps,final_object_goal_distance
no_recovery,fault_01,300,False,none,,,0,0.22793482127180584
bias_compensation,fault_01,300,True,simultaneous_xy_repair,,,89,0.04958447524062019
same_seed_retry,fault_01,300,False,identity_retry,300,,500,0.22793482127180584
independent_retry,fault_01,300,False,identity_retry,965323357,,500,0.22793482127180584
value_aware,fault_01,300,True,simultaneous_xy_repair,,0.0,137,0.04958447524062019
no_recovery,fault_01,302,False,none,,,0,0.12357777270323761
bias_compensation,fault_01,302,True,simultaneous_xy_repair,,,82,0.04886032254495758
same_seed_retry,fault_01,302,False,identity_retry,302,,500,0.12357777270323761
independent_retry,fault_01,302,False,identity_retry,1840659754,,500,0.12357777270323761
value_aware,fault_01,302,True,simultaneous_xy_repair,,0.0,130,0.04886032254495758
no_recovery,fault_01,303,False,none,,,0,0.2862823024826286
bias_compensation,fault_01,303,True,simultaneous_xy_repair,,,80,0.044242272885513176
same_seed_retry,fault_01,303,False,identity_retry,303,,500,0.2862823024826286
independent_retry,fault_01,303,False,identity_retry,544788954,,500,0.2862823024826286
value_aware,fault_01,303,True,simultaneous_xy_repair,,0.0,128,0.044242272885513176
no_recovery,fault_01,304,False,none,,,0,0.20535549027790148
bias_compensation,fault_01,304,True,simultaneous_xy_repair,,,78,0.044537205951457215
same_seed_retry,fault_01,304,False,identity_retry,304,,500,0.20535549027790148
independent_retry,fault_01,304,False,identity_retry,1699234452,,500,0.20535549027790148
value_aware,fault_01,304,True,simultaneous_xy_repair,,1.832643195433386e-15,126,0.044537205951457215
no_recovery,fault_01,305,False,none,,,0,0.27177500013245587
bias_compensation,fault_01,305,True,simultaneous_xy_repair,,,79,0.04415526044537645
same_seed_retry,fault_01,305,False,identity_retry,305,,500,0.27177500013245587
independent_retry,fault_01,305,False,identity_retry,3863142290,,500,0.27177500013245587
value_aware,fault_01,305,True,simultaneous_xy_repair,,1.832643195433386e-15,127,0.04415526044537645
no_recovery,fault_01,306,False,none,,,0,0.5131850387407056
bias_compensation,fault_01,306,True,simultaneous_xy_repair,,,87,0.04907386404807423
same_seed_retry,fault_01,306,False,identity_retry,306,,500,0.5131850387407056
independent_retry,fault_01,306,False,identity_retry,1152346755,,500,0.5131850387407056
value_aware,fault_01,306,True,simultaneous_xy_repair,,1.832643195433386e-15,135,0.04907386404807423
no_recovery,fault_01,307,False,none,,,0,0.18201318128259983
bias_compensation,fault_01,307,True,simultaneous_xy_repair,,,80,0.049011008401881086
same_seed_retry,fault_01,307,False,identity_retry,307,,500,0.18201318128259983
independent_retry,fault_01,307,False,identity_retry,1369196023,,500,0.18201318128259983
value_aware,fault_01,307,True,simultaneous_xy_repair,,1.832643195433386e-15,128,0.049011008401881086
no_recovery,fault_02,300,False,none,,,0,0.1972557987664903
bias_compensation,fault_02,300,True,dominant_axis_repair,,,87,0.04940840330762196
same_seed_retry,fault_02,300,False,identity_retry,300,,500,0.1972557987664903
independent_retry,fault_02,300,False,identity_retry,965323357,,500,0.1972557987664903
value_aware,fault_02,300,True,dominant_axis_repair,,4.572831111159083e-16,135,0.04940840330762196
no_recovery,fault_02,301,False,none,,,0,0.07227923831046026
bias_compensation,fault_02,301,True,dominant_axis_repair,,,78,0.04834488740586514
same_seed_retry,fault_02,301,False,identity_retry,301,,500,0.07227923831046026
independent_retry,fault_02,301,False,identity_retry,2019010396,,500,0.07227923831046026
value_aware,fault_02,301,True,dominant_axis_repair,,5.278122454581873e-16,126,0.04834488740586514
no_recovery,fault_02,306,False,none,,,0,0.3171975937653005
bias_compensation,fault_02,306,True,dominant_axis_repair,,,93,0.04851115362032463
same_seed_retry,fault_02,306,False,identity_retry,306,,500,0.3171975937653005
independent_retry,fault_02,306,False,identity_retry,1152346755,,500,0.3171975937653005
value_aware,fault_02,306,True,dominant_axis_repair,,5.278122454581873e-16,141,0.04851115362032463
no_recovery,fault_02,308,False,none,,,0,0.13664274197272158
bias_compensation,fault_02,308,True,dominant_axis_repair,,,81,0.04937874633790582
same_seed_retry,fault_02,308,False,identity_retry,308,,500,0.13664274197272158
independent_retry,fault_02,308,False,identity_retry,832172095,,500,0.13664274197272158
value_aware,fault_02,308,True,dominant_axis_repair,,5.278122454581873e-16,129,0.04937874633790582
no_recovery,fault_02,309,False,none,,,0,0.17103089976099725
bias_compensation,fault_02,309,True,dominant_axis_repair,,,75,0.04564752690371898
same_seed_retry,fault_02,309,False,identity_retry,309,,500,0.17103089976099725
independent_retry,fault_02,309,False,identity_retry,817186373,,500,0.17103089976099725
value_aware,fault_02,309,True,dominant_axis_repair,,4.572831111159083e-16,123,0.04564752690371898
no_recovery,fault_03,300,False,none,,,0,0.32652019042233815
bias_compensation,fault_03,300,True,dominant_axis_repair,,,91,0.048089896911571756
same_seed_retry,fault_03,300,False,identity_retry,300,,500,0.32652019042233815
independent_retry,fault_03,300,False,identity_retry,965323357,,500,0.32652019042233815
value_aware,fault_03,300,True,dominant_axis_repair,,0.0,139,0.048089896911571756
no_recovery,fault_03,302,False,none,,,0,0.24123156633610046
bias_compensation,fault_03,302,True,dominant_axis_repair,,,85,0.04815292330478947
same_seed_retry,fault_03,302,False,identity_retry,302,,500,0.24123156633610046
independent_retry,fault_03,302,False,identity_retry,1840659754,,500,0.24123156633610046
value_aware,fault_03,302,True,dominant_axis_repair,,9.720939023624269e-16,133,0.04815292330478947
no_recovery,fault_03,303,False,none,,,0,0.09727554243971369
bias_compensation,fault_03,303,True,dominant_axis_repair,,,81,0.04912239710841452
same_seed_retry,fault_03,303,False,identity_retry,303,,500,0.09727554243971369
independent_retry,fault_03,303,False,identity_retry,544788954,,500,0.09727554243971369
value_aware,fault_03,303,True,dominant_axis_repair,,8.479480243986617e-16,129,0.04912239710841452
no_recovery,fault_03,304,False,none,,,0,0.2627390092828181
bias_compensation,fault_03,304,True,dominant_axis_repair,,,77,0.045801410032263665
same_seed_retry,fault_03,304,False,identity_retry,304,,500,0.2627390092828181
independent_retry,fault_03,304,False,identity_retry,1699234452,,500,0.2627390092828181
