seed,fault_axis,fault_sign,fault_magnitude,correction_axis,correction_direction,correction_magnitude,magnitude_absolute_error,axis_correct,direction_correct,recovery_success
241,x,positive,0.145,x,negative,0.1,0.044999999999999984,True,True,True
242,x,positive,0.145,x,negative,0.1,0.044999999999999984,True,True,True
244,x,positive,0.145,x,negative,0.1,0.044999999999999984,True,True,True
245,x,positive,0.145,x,negative,0.1,0.044999999999999984,True,True,True
249,x,positive,0.145,x,negative,0.1,0.044999999999999984,True,True,True
250,x,positive,0.145,x,negative,0.1,0.044999999999999984,True,True,True
252,x,positive,0.145,x,negative,0.1,0.044999999999999984,True,True,True
257,x,positive,0.145,x,negative,0.1,0.044999999999999984,True,True,True
259,x,positive,0.145,x,negative,0.1,0.044999999999999984,True,True,True
240,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
243,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
245,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
247,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
249,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
250,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
253,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
254,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
255,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
258,x,negative,0.18,x,positive,0.2,0.020000000000000018,True,True,True
243,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
244,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
245,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
246,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
247,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
250,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
251,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
252,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
254,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
257,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
258,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
259,y,negative,0.198,y,positive,0.2,0.0020000000000000018,True,True,True
