schema_version,planner,injected_bias_axis,injected_bias_sign,injected_bias_magnitude,episode_id,seed,trial,correction_axis,correction_direction,correction_magnitude,success,steps,episode_return,elapsed_time_ms,final_object_goal_distance,minimum_gripper_object_distance,object_displacement,progress_to_goal,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,trajectory_path,video_path,probe_environment_steps,correction_schedule,approach_steps,push_steps,near_goal_steps
1,probe_rule,x,negative,0.18,1,240,1,none,none,0.0,False,500,157.50348923566023,530.3935999982059,0.06410402186146358,0.04136961541630734,0.11562910424360925,0.10346963624590044,201,0.402,201,0.1005,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed240_trial01.jsonl,,0,whole,94,40,366
1,probe_rule,x,negative,0.18,1,240,2,x,positive,0.2,True,57,165.76124040930065,82.52359996549785,0.048360613084188334,0.0330806111913964,0.1202910897760287,0.11921304502317569,23,0.40350877192982454,23,0.10087719298245613,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed240_trial02.jsonl,,32,whole,31,21,5
1,probe_rule,x,negative,0.18,2,241,1,none,none,0.0,True,78,198.32385432329596,109.28139998577535,0.04843606621475963,0.03809051302904871,0.11429648024517793,0.11384142572436268,19,0.24358974358974358,19,0.060897435897435896,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed241_trial01.jsonl,,0,whole,33,41,4
1,probe_rule,x,negative,0.18,3,242,1,none,none,0.0,True,150,269.31712334208993,170.01250013709068,0.049862880821009155,0.03864526128468964,0.16444872188695073,0.1633988266794081,52,0.3466666666666667,52,0.08666666666666667,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed242_trial01.jsonl,,0,whole,39,71,40
1,probe_rule,x,negative,0.18,4,243,1,none,none,0.0,False,500,188.90033653292787,553.7310999352485,0.0989555665957073,0.040155622322460185,0.0949347095799947,0.0832649968307387,203,0.406,203,0.1015,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed243_trial01.jsonl,,0,whole,319,181,0
1,probe_rule,x,negative,0.18,4,243,2,x,positive,0.2,True,61,187.07353547970743,72.20539986155927,0.04641412070865667,0.0327597767419405,0.13828806410695887,0.13580644271778933,25,0.4098360655737705,25,0.10245901639344263,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed243_trial02.jsonl,,32,whole,32,23,6
1,probe_rule,x,negative,0.18,5,244,1,none,none,0.0,True,388,190.87859820715664,401.90830011852086,0.04996424439767203,0.040335260092342194,0.1631670571242919,0.1465516179243837,157,0.40463917525773196,157,0.10115979381443299,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed244_trial01.jsonl,,0,whole,151,103,134
1,probe_rule,x,negative,0.18,6,245,1,none,none,0.0,False,500,229.40928774106771,519.5993001107126,0.1049847736271952,0.039580903710823394,0.15479721953989636,0.14212287017209552,195,0.39,195,0.0975,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed245_trial01.jsonl,,0,whole,293,207,0
1,probe_rule,x,negative,0.18,6,245,2,x,positive,0.2,True,67,244.509093625915,86.72520006075501,0.04807855334269511,0.03228890008703031,0.2040716601525268,0.1990290904565956,33,0.4925373134328358,33,0.12313432835820895,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed245_trial02.jsonl,,32,whole,29,32,6
1,probe_rule,x,negative,0.18,7,246,1,none,none,0.0,True,293,177.21829218502052,319.36939992010593,0.048413044957752074,0.040968206865478175,0.15039805299820305,0.14472239227768607,105,0.3583617747440273,105,0.08959044368600683,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed246_trial01.jsonl,,0,whole,165,101,27
1,probe_rule,x,negative,0.18,8,247,1,none,none,0.0,False,500,98.41710666589883,500.0539000611752,0.2686449492044005,0.04069485990109543,0.3382180175893678,-0.11599611392794623,76,0.152,76,0.038,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed247_trial01.jsonl,,0,whole,441,59,0
1,probe_rule,x,negative,0.18,8,247,2,x,positive,0.2,True,55,147.50493776228035,79.5369001571089,0.04719732866352438,0.032298778358194266,0.106642494687815,0.1054515066129299,20,0.36363636363636365,20,0.09090909090909091,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed247_trial02.jsonl,,32,whole,32,19,4
1,probe_rule,x,negative,0.18,9,248,1,none,none,0.0,True,154,232.53284189920066,170.92190007679164,0.049824315802860314,0.037314239371261264,0.170697856098294,0.16868931579432841,59,0.38311688311688313,59,0.09577922077922078,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed248_trial01.jsonl,,0,whole,72,62,20
1,probe_rule,x,negative,0.18,10,249,1,none,none,0.0,False,500,2150.9025306419544,582.3931000195444,0.46979028197196643,0.03864066977153116,0.41537443092414517,-0.2782440569898563,26,0.052,26,0.013,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed249_trial01.jsonl,,0,whole,35,421,44
1,probe_rule,x,negative,0.18,10,249,2,x,positive,0.2,True,60,173.06826766222653,82.82910007983446,0.048337553982668875,0.03486234566617466,0.14681018411559538,0.14320867099944123,23,0.38333333333333336,23,0.09583333333333334,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed249_trial02.jsonl,,32,whole,33,22,5
1,probe_rule,x,negative,0.18,11,250,1,none,none,0.0,False,500,160.36168694104015,609.6455999650061,0.2550269134290321,0.040535898915674995,3.29167912407581e-05,-1.1905555546198876e-05,194,0.388,194,0.097,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed250_trial01.jsonl,,0,whole,345,155,0
1,probe_rule,x,negative,0.18,11,250,2,x,positive,0.2,True,65,197.49538224619914,80.75409987941384,0.04625768683878839,0.030608953674318755,0.21155989595051147,0.20875732103469752,32,0.49230769230769234,32,0.12307692307692308,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed250_trial02.jsonl,,32,whole,30,30,5
1,probe_rule,x,negative,0.18,12,251,1,none,none,0.0,True,282,126.83972389956615,304.9997000489384,0.04990149417643325,0.03998834400637534,0.15745721581560893,0.15380036530824318,114,0.40425531914893614,114,0.10106382978723404,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed251_trial01.jsonl,,0,whole,168,94,20
1,probe_rule,x,negative,0.18,13,252,1,none,none,0.0,True,87,181.7628371258758,104.93279993534088,0.047777396716404436,0.03463561260520204,0.23531165272036705,0.2265380509893727,38,0.4367816091954023,38,0.10919540229885058,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed252_trial01.jsonl,,0,whole,44,36,7
1,probe_rule,x,negative,0.18,14,253,1,none,none,0.0,False,500,176.9371919885509,563.221599906683,0.10978508946772013,0.041322094502994074,0.04996532531308642,0.04734940893427696,219,0.438,219,0.1095,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed253_trial01.jsonl,,0,whole,322,178,0
1,probe_rule,x,negative,0.18,14,253,2,x,positive,0.2,True,58,161.1310323495359,68.90559988096356,0.0477841106112201,0.03349842374406306,0.11090738598249432,0.10935038779077699,21,0.3620689655172414,21,0.09051724137931035,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed253_trial02.jsonl,,32,whole,33,20,5
