case_id,seed,before_candidate,after_candidate,outcome_class,evidence_driver,before_recovery_success,after_recovery_success,compensation_prefix_success_count_k3,retry_prefix_success_count_k3,compensation_robust_distance_k3,retry_robust_distance_k3,retry_minus_compensation_robust_margin_k3
development_case_0001,600,probe_grounded_compensation,stochastic_retry,NEUTRAL,ROBUST_DISTANCE_RANK_FLIP,False,False,0,0,0.1894553472845617,0.17451880900447303,-0.014936538280088674
development_case_0002,601,stochastic_retry,probe_grounded_compensation,HARMFUL,ROBUST_DISTANCE_RANK_FLIP,True,False,0,0,0.20277858234931337,0.20314422838663576,0.0003656460373223924
development_case_0005,604,probe_grounded_compensation,stochastic_retry,HELPFUL,ROBUST_DISTANCE_RANK_FLIP,False,True,0,0,0.24429894557828186,0.22821436746904383,-0.016084578109238024
development_case_0008,607,probe_grounded_compensation,stochastic_retry,NEUTRAL,ROBUST_DISTANCE_RANK_FLIP,False,False,0,0,0.20212364385568202,0.1949797764679283,-0.007143867387753716
development_case_0021,620,stochastic_retry,probe_grounded_compensation,HARMFUL,ROBUST_DISTANCE_RANK_FLIP,True,False,0,0,0.2210661122964976,0.2649406275502405,0.04387451525374289
development_case_0027,626,probe_grounded_compensation,stochastic_retry,HARMFUL,ROBUST_DISTANCE_RANK_FLIP,True,False,0,0,0.2665794793205118,0.2651667222047201,-0.0014127571157916963
development_case_0031,630,stochastic_retry,probe_grounded_compensation,HARMFUL,ROBUST_DISTANCE_RANK_FLIP,True,False,0,0,0.2645156480628797,0.2704241329201549,0.005908484857275187
development_case_0037,636,probe_grounded_compensation,stochastic_retry,HELPFUL,PREFIX_SUCCESS_PRIORITY,False,True,0,1,0.20381503582191662,0.16815952622945046,-0.03565550959246616
development_case_0042,641,stochastic_retry,probe_grounded_compensation,HARMFUL,ROBUST_DISTANCE_RANK_FLIP,True,False,0,0,0.29705022450512075,0.3097659159902664,0.012715691485145675
development_case_0047,646,probe_grounded_compensation,stochastic_retry,NEUTRAL,ROBUST_DISTANCE_RANK_FLIP,True,True,0,0,0.21809426642179636,0.2151100366219284,-0.0029842297998679546
development_case_0056,655,stochastic_retry,probe_grounded_compensation,HARMFUL,ROBUST_DISTANCE_RANK_FLIP,True,False,0,0,0.2406609900207125,0.24522954509337852,0.004568555072666014
