schema_version,perturbation_type,perturbation_level,bias_axis,bias_direction,episode_id,seed,success,steps,episode_return,elapsed_time_ms,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,final_object_goal_distance,min_gripper_object_distance,object_displacement,progress_to_goal
2,action_bias,0.145,x,positive,1,100,True,62,160.62487943367552,86.53099997900426,25,0.4032258064516129,25,0.10080645161290322,0.04802234756554523,0.03551856437550491,0.13777808007544212,0.133409523139557
2,action_bias,0.145,x,positive,2,101,True,248,484.0773798193089,263.6382000055164,116,0.46774193548387094,125,0.12600806451612903,0.04628262795200445,0.03703218791177341,0.15655033568826435,0.1555756239919202
2,action_bias,0.145,x,positive,3,102,True,56,135.35954595175042,75.85590006783605,22,0.39285714285714285,22,0.09821428571428571,0.04559599724469044,0.03195048862143903,0.1355152976722754,0.13364948220393794
2,action_bias,0.145,x,positive,4,103,False,500,103.76777475232579,607.6086999382824,50,0.1,50,0.025,0.19264108613459566,0.038410597067861346,0.05396843736672291,0.03598123209864526
2,action_bias,0.145,x,positive,5,104,True,59,141.5663639732995,84.38799995929003,23,0.3898305084745763,23,0.09745762711864407,0.04606843558805342,0.03462885460254206,0.12223951735686145,0.11992034813517757
2,action_bias,0.145,x,positive,6,105,True,59,156.9452629418816,77.85599981434643,27,0.4576271186440678,27,0.11440677966101695,0.046966922507294284,0.03417423548655054,0.1515594979245164,0.1499658105564523
2,action_bias,0.145,x,positive,7,106,True,98,117.07428423692572,106.69070016592741,44,0.4489795918367347,44,0.11224489795918367,0.04900998904371896,0.035628658957598196,0.16697011309639012,0.14810540511807507
2,action_bias,0.145,x,positive,8,107,False,500,428.0808628990013,600.2334000077099,56,0.112,56,0.028,0.08346665806897478,0.03611047418058722,0.1536346330157256,0.14281751605104354
2,action_bias,0.145,x,positive,9,108,False,500,317.0842017046811,652.5379000231624,42,0.084,42,0.021,0.27826948795771383,0.04729598153208292,0.009422906106935462,-0.004166205200424378
2,action_bias,0.145,x,positive,10,109,True,153,348.2532521472707,240.29759992845356,65,0.42483660130718953,71,0.11601307189542484,0.047855406503669914,0.037268086281685285,0.1840601882645743,0.18070265688009557
2,action_bias,0.145,x,positive,11,110,False,500,306.41610125511534,693.1539000943303,42,0.084,42,0.021,0.26495441259299646,0.04759955653545907,0.011848649138923665,-0.003263226987966994
2,action_bias,0.145,x,positive,12,111,False,500,331.8996108464047,684.1174999717623,41,0.082,41,0.0205,0.2094051214085501,0.047311775056642344,0.0085087885195179,-0.0024993865501684587
2,action_bias,0.145,x,positive,13,112,True,67,177.4893241701889,86.63469995371997,31,0.4626865671641791,31,0.11567164179104478,0.04967117829449699,0.03429045540876275,0.1804118126841605,0.17734497268780616
2,action_bias,0.145,x,positive,14,113,False,500,279.70801560138835,636.4575000479817,50,0.1,51,0.0255,0.2823567706088167,0.039118684929761435,0.023042813800229482,-0.009413660799767298
2,action_bias,0.145,x,positive,15,114,True,70,228.12011370757534,100.93710012733936,34,0.4857142857142857,39,0.1392857142857143,0.04724284012166776,0.031671293814414664,0.24049540400758543,0.2314686644764982
2,action_bias,0.145,x,positive,16,115,False,500,235.66878655589332,586.7041999008507,95,0.19,95,0.0475,0.17834281925522974,0.03607355461174551,0.10765544671228573,0.04769064607912843
2,action_bias,0.145,x,positive,17,116,True,66,200.07996730339468,78.7006001919508,34,0.5151515151515151,34,0.12878787878787878,0.049765903566564504,0.033430281064903596,0.20515263772755904,0.19760395404723213
2,action_bias,0.145,x,positive,18,117,False,500,275.7212453841156,584.280600072816,95,0.19,95,0.0475,0.16991714681366243,0.03788838723716133,0.11873690969389858,0.013234691943945665
2,action_bias,0.145,x,positive,19,118,False,500,87.61737088961438,639.0221000183374,47,0.094,49,0.0245,0.19066873896432993,0.03825725363693737,0.055460503948428164,0.0300367642592754
2,action_bias,0.145,x,positive,20,119,False,500,288.02147929707735,564.210900105536,120,0.24,120,0.06,0.352029161603852,0.04341360739453518,0.1576541745716344,-0.061422795346210424
2,action_bias,0.145,x,positive,21,120,True,65,195.6678052991582,78.0440999660641,35,0.5384615384615384,35,0.1346153846153846,0.048106259311423503,0.03378083803133986,0.19855662605086827,0.1903413048956961
2,action_bias,0.145,x,positive,22,121,False,500,176.0595967900896,596.079200040549,50,0.1,52,0.026,0.2549404397567074,0.038351627035630914,0.042980530257934475,0.01998085334046118
2,action_bias,0.145,x,positive,23,122,True,57,137.99422594004494,74.93949984200299,24,0.42105263157894735,24,0.10526315789473684,0.047743323193093413,0.03435781715059902,0.12969047963790545,0.1286327821141222
