schema_version,perturbation_type,perturbation_level,bias_axis,bias_direction,num_episodes,success_count,success_rate,mean_steps,mean_return,mean_final_object_goal_distance,mean_min_gripper_object_distance,mean_object_displacement,mean_progress_to_goal,clipped_step_fraction,clipped_element_fraction
2,action_bias,0.0,x,positive,20,20,1,62.75,197.25111652207158,0.04792598986844259,0.03253510852685271,0.18077984465290056,0.17683776356059144,0.4549800796812749,0.12151394422310757
2,action_bias,0.02,x,positive,20,20,1,63,199.97612557540538,0.04765174899444921,0.03257499352555985,0.18108157640757527,0.1771120044345848,0.4531746031746032,0.12103174603174603
2,action_bias,0.04,x,positive,20,20,1,70.6,235.75142368717354,0.04768191456722568,0.032643293879497666,0.1814229677913182,0.17708183886180834,0.43555240793201133,0.11579320113314448
2,action_bias,0.06,x,positive,20,20,1,69.15,219.88412155365742,0.0477589779562732,0.03287751212042329,0.18087618750913795,0.17700477547276083,0.4389009399855387,0.11677512653651483
2,action_bias,0.08,x,positive,20,19,0.95,88.95,219.3538855346544,0.04974077758288355,0.03308484001713475,0.18371858947022324,0.17502297584615048,0.3530073074761102,0.09387296233839236
2,action_bias,0.1,x,positive,20,18,0.9,118.95,284.189044812721,0.057680336063381264,0.03359899184960255,0.17507081391874788,0.16708341736565277,0.2837326607818411,0.07503152585119799
2,action_bias,0.12,x,positive,20,13,0.65,222.6,423.71427256480416,0.07605774690229072,0.033978982594645366,0.16672434438610298,0.14870600652674332,0.18238993710691823,0.047506738544474396
2,action_bias,0.0,x,negative,20,20,1,62.75,197.25111652207158,0.04792598986844259,0.03253510852685271,0.18077984465290056,0.17683776356059144,0.4549800796812749,0.12151394422310757
2,action_bias,0.02,x,negative,20,20,1,63.15,198.30001149286247,0.04778064334878167,0.03275142573609473,0.180862335072784,0.17698311008025236,0.45288994457640536,0.1209422011084719
2,action_bias,0.04,x,negative,20,20,1,63.1,195.55335887087583,0.04765002217674604,0.03300174153527071,0.18098725226617793,0.177113731252288,0.45245641838351824,0.12083993660855784
2,action_bias,0.06,x,negative,20,20,1,63.4,182.10774029542776,0.04765528839262973,0.03358580780940756,0.18089153908344635,0.1771084650364043,0.4503154574132492,0.12046529968454259
2,action_bias,0.08,x,negative,20,18,0.9,106.3,297.28922200361626,0.06872782566596115,0.03410787815983066,0.1848639841413577,0.15603592776307287,0.2666980244590781,0.07126058325493885
2,action_bias,0.1,x,negative,20,19,0.95,94.7,185.9145664539204,0.05650965895693358,0.03475910769166358,0.17393628093260405,0.16825409447210046,0.32576557550158397,0.08658922914466737
2,action_bias,0.12,x,negative,20,16,0.8,152.8,176.77009840280388,0.09636700719444012,0.035789209149741576,0.1698439446333826,0.1283967462345939,0.20844240837696335,0.05505562827225131
2,action_bias,0.0,y,positive,20,20,1,62.75,197.25111652207158,0.04792598986844259,0.03253510852685271,0.18077984465290056,0.17683776356059144,0.4549800796812749,0.12151394422310757
2,action_bias,0.02,y,positive,20,20,1,62.1,198.11834897345528,0.04810723676845811,0.03293668422457059,0.18057602183484345,0.1766565166605759,0.4605475040257649,0.12318840579710146
2,action_bias,0.04,y,positive,20,20,1,61.75,197.7987607553571,0.04744518160210336,0.03368900961567764,0.1811104987104758,0.17731857182693067,0.4631578947368421,0.12388663967611337
2,action_bias,0.06,y,positive,20,20,1,61.15,194.0446425351858,0.04752693441078528,0.03445992068839817,0.18093879231921126,0.17723681901824875,0.4677023712183156,0.12510220768601799
2,action_bias,0.08,y,positive,20,20,1,61.7,194.0154871380396,0.04779080402984208,0.03585150888898571,0.18028582037026325,0.17697294939919195,0.4675850891410049,0.12520259319286872
2,action_bias,0.1,y,positive,20,17,0.85,129.6,593.2238895012823,0.10265203189762638,0.03704071021200484,0.21547378695089997,0.12211172153140765,0.2195216049382716,0.058834876543209874
2,action_bias,0.12,y,positive,20,18,0.9,110.35,491.1763973300558,0.08088243039340426,0.03797903037835823,0.19961984911049335,0.14388132303562978,0.25147258722247395,0.06762573629361124
2,action_bias,0.0,y,negative,20,20,1,62.75,197.25111652207158,0.04792598986844259,0.03253510852685271,0.18077984465290056,0.17683776356059144,0.4549800796812749,0.12151394422310757
2,action_bias,0.02,y,negative,20,20,1,63.8,199.43279773076938,0.04750627414545118,0.03237370161307559,0.18119632350491555,0.17725747928358285,0.44592476489028215,0.11912225705329153
2,action_bias,0.04,y,negative,20,20,1,64.3,196.8572669006099,0.048539646819654565,0.03235046395260518,0.18000853246740625,0.17622410660937946,0.44090202177293936,0.11780715396578538
2,action_bias,0.06,y,negative,20,19,0.95,87.1,214.1804379287513,0.05015462346095874,0.03231168829095648,0.17981204336903175,0.1746091299680753,0.34902411021814006,0.09285304247990815
2,action_bias,0.08,y,negative,20,19,0.95,88.15,198.22777166666162,0.05127138484581027,0.032284212562332715,0.1780624536373234,0.17349236858322375,0.34373227453204763,0.09132161089052751
2,action_bias,0.1,y,negative,20,19,0.95,88.95,165.51705861425276,0.059268211840729466,0.03237011105370874,0.17248772722076797,0.16549554158830454,0.32771219786396855,0.0872681281618887
2,action_bias,0.12,y,negative,20,17,0.85,133.35,213.34897579898595,0.06294872788284622,0.032794826122803364,0.17427816190615925,0.1618150255461878,0.24896887889013875,0.06589801274840645
