schema_version,perturbation_type,perturbation_level,bias_axis,bias_direction,episode_id,seed,success,steps,episode_return,elapsed_time_ms,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,final_object_goal_distance,min_gripper_object_distance,object_displacement,progress_to_goal
2,action_bias,0.125,x,positive,1,100,True,62,167.74043885062056,83.20050011388958,25,0.4032258064516129,25,0.10080645161290322,0.04789174764754778,0.034882633800372494,0.13787910071685566,0.13354012305755447
2,action_bias,0.125,x,positive,2,101,True,285,1544.1488581193491,331.6995999775827,63,0.22105263157894736,63,0.05526315789473684,0.04925758989931797,0.035213899135689675,0.17753771687505673,0.15260066204460668
2,action_bias,0.125,x,positive,3,102,True,56,142.3618678794503,68.6431999783963,22,0.39285714285714285,22,0.09821428571428571,0.045233611374060026,0.03302194592722586,0.1356720632828404,0.13401186807456833
2,action_bias,0.125,x,positive,4,103,False,500,238.20445273980707,642.6220999564976,49,0.098,49,0.0245,0.17224189052420802,0.03739581230375578,0.07907571167448915,0.0563804277090329
2,action_bias,0.125,x,positive,5,104,True,59,150.01697270089616,69.96880006045103,23,0.3898305084745763,23,0.09745762711864407,0.04576423241665587,0.03442301945425177,0.12241323126099767,0.12022455130657514
2,action_bias,0.125,x,positive,6,105,True,59,161.2316321679825,72.58349983021617,27,0.4576271186440678,27,0.11440677966101695,0.04688898157602061,0.03356340920123187,0.15161418315866634,0.15004375148772597
2,action_bias,0.125,x,positive,7,106,True,65,176.1332570317157,86.05089993216097,31,0.47692307692307695,31,0.11923076923076924,0.049858087182423204,0.034871253582285454,0.1579878507053505,0.14725730697937084
2,action_bias,0.125,x,positive,8,107,True,219,801.5302871110845,299.41059998236597,75,0.3424657534246575,75,0.08561643835616438,0.04679353876135718,0.03483835843655782,0.18563147424993098,0.1794906353586611
2,action_bias,0.125,x,positive,9,108,True,61,181.51029064369314,75.72379987686872,30,0.4918032786885246,40,0.16393442622950818,0.04891918158494401,0.03122224564012707,0.22967225944027672,0.22518410117234544
2,action_bias,0.125,x,positive,10,109,False,500,461.7532722345905,609.3075000680983,54,0.108,54,0.027,0.08550034457802194,0.03549700502637316,0.15239845757955456,0.14305771880574353
2,action_bias,0.125,x,positive,11,110,True,59,160.03891711499926,77.58010015822947,25,0.423728813559322,36,0.15254237288135594,0.046903293915220516,0.030658559639721084,0.21663319098470774,0.21478789168980894
2,action_bias,0.125,x,positive,12,111,True,58,159.13609846799307,76.32420002482831,27,0.46551724137931033,27,0.11637931034482758,0.045672814839263255,0.032063700794215305,0.16276615222205307,0.1612329200191184
2,action_bias,0.125,x,positive,13,112,True,67,183.26073090765954,82.25139998830855,30,0.44776119402985076,30,0.11194029850746269,0.04937794068577112,0.03378447147811363,0.18045487316383624,0.17763821029653204
2,action_bias,0.125,x,positive,14,113,False,500,262.3331438026393,633.5912998765707,49,0.098,51,0.0255,0.2647382481937336,0.03803250595617927,0.03244591947814091,0.008204861615315806
2,action_bias,0.125,x,positive,15,114,True,70,245.52541166132,83.43830006197095,34,0.4857142857142857,39,0.1392857142857143,0.0471816098373789,0.03134399639342128,0.24047590157385526,0.23152989476078706
2,action_bias,0.125,x,positive,16,115,False,500,496.6480256534526,600.4459999967366,64,0.128,64,0.032,0.07685143740952227,0.03512921108805644,0.16801736882489718,0.1491820279248359
2,action_bias,0.125,x,positive,17,116,True,66,202.022475168888,92.86700002849102,33,0.5,33,0.125,0.04965307421858909,0.03269138385176378,0.20501038845410885,0.19771678339520754
2,action_bias,0.125,x,positive,18,117,True,98,115.52284432519082,107.4945000000298,47,0.47959183673469385,47,0.11989795918367346,0.04997486183901418,0.03638424001397329,0.15563766246841493,0.13317697691859393
2,action_bias,0.125,x,positive,19,118,False,500,345.06902889982115,645.2589000109583,56,0.112,58,0.029,0.2555826016717467,0.03726766861324329,0.05381740337443448,-0.03487709844814135
2,action_bias,0.125,x,positive,20,119,True,67,240.7572088401418,92.37270010635257,37,0.5522388059701493,40,0.14925373134328357,0.04777533180406405,0.03134151621249629,0.2512311900790266,0.24283103445357754
2,action_bias,0.13,x,positive,1,100,True,62,166.37473578968888,84.05609987676144,25,0.4032258064516129,25,0.10080645161290322,0.04792430358075027,0.03503179508540546,0.13785391485046825,0.13350756712435197
2,action_bias,0.13,x,positive,2,101,True,109,151.1592175882857,132.42030004039407,48,0.44036697247706424,48,0.11009174311926606,0.049106544780660864,0.035510621503310094,0.18467065385535547,0.15275170716326378
2,action_bias,0.13,x,positive,3,102,True,56,139.86061349622457,82.7468999195844,22,0.39285714285714285,22,0.09821428571428571,0.045247182686595375,0.03310987065921463,0.13566172627947562,0.133998296762033
2,action_bias,0.13,x,positive,4,103,False,500,259.6699091441227,638.4575001429766,49,0.098,49,0.0245,0.17127462192630188,0.03759130254724298,0.07556111438521426,0.05734769630693903
2,action_bias,0.13,x,positive,5,104,True,59,147.47175255330887,70.90960000641644,23,0.3898305084745763,23,0.09745762711864407,0.04579028405399757,0.03455369632725805,0.12239735191955134,0.12019849966923343
2,action_bias,0.13,x,positive,6,105,True,59,158.68284678385692,73.43270001001656,27,0.4576271186440678,27,0.11440677966101695,0.04691560774442184,0.03372097616156701,0.15159184567983017,0.15001712531932476
2,action_bias,0.13,x,positive,7,106,False,500,632.3600117404159,523.7751000095159,63,0.126,63,0.0315,0.06376816951915466,0.035050684215816225,0.23416758118430128,0.13334722464263937
2,action_bias,0.13,x,positive,8,107,False,500,479.36350868746365,520.8217001054436,73,0.146,73,0.0365,0.06382155922314602,0.03501789759984972,0.19466376878753067,0.1624626148968723
2,action_bias,0.13,x,positive,9,108,True,61,174.3163252293189,78.29200010746717,30,0.4918032786885246,40,0.16393442622950818,0.04891428789567273,0.03133285788019428,0.22968360378586614,0.22518899486161673
2,action_bias,0.13,x,positive,10,109,False,500,101.40457091042505,586.4301000256091,47,0.094,47,0.0235,0.18535910275657208,0.036560220070505065,0.07043907073058357,0.04319896062719339
2,action_bias,0.13,x,positive,11,110,True,59,158.75144833241345,75.16210014000535,25,0.423728813559322,36,0.15254237288135594,0.046905514045561716,0.030725105647098017,0.21663835711882828,0.21478567155946776
2,action_bias,0.13,x,positive,12,111,True,58,157.7148757941954,74.11399995908141,27,0.46551724137931033,27,0.11637931034482758,0.04583334620997719,0.031943397607825594,0.16261943439764046,0.16107238864840445
2,action_bias,0.13,x,positive,13,112,True,67,183.16057487322345,90.33549996092916,30,0.44776119402985076,30,0.11194029850746269,0.049368042024445086,0.0338127032993763,0.18043924228081576,0.17764810895785807
2,action_bias,0.13,x,positive,14,113,False,500,328.0444002006111,625.2391000743955,49,0.098,51,0.0255,0.283691050005807,0.038234454929005325,0.01747099581042222,-0.010747940196757622
2,action_bias,0.13,x,positive,15,114,True,70,244.19729890257838,84.77930002845824,34,0.4857142857142857,39,0.1392857142857143,0.047218445235663146,0.03141308177588115,0.24045910375422594,0.2314930593625028
2,action_bias,0.13,x,positive,16,115,True,187,737.7305816074041,212.59280014783144,62,0.3315508021390374,62,0.08288770053475936,0.04982457899306452,0.035289931834677685,0.19042472056998966,0.17620888634129364
2,action_bias,0.13,x,positive,17,116,True,66,200.92737568391453,86.10490011051297,33,0.5,33,0.125,0.049370983920415445,0.032990013822623884,0.20511186982074808,0.19799887369338118
2,action_bias,0.13,x,positive,18,117,True,145,399.8514661495722,176.26670002937317,49,0.33793103448275863,49,0.08448275862068966,0.04861784030725129,0.03658643053227486,0.13559184410141883,0.1345339984503568
2,action_bias,0.13,x,positive,19,118,False,500,123.38719587390172,684.7999999299645,47,0.094,49,0.0245,0.19022015799574224,0.03718837541920304,0.058695030596774986,0.030485345227863087
2,action_bias,0.13,x,positive,20,119,True,67,237.07488546030447,77.73509994149208,37,0.5522388059701493,40,0.14925373134328357,0.047817499363857006,0.031411894042533015,0.2512064458043703,0.24278886689378457
2,action_bias,0.135,x,positive,1,100,True,62,163.39110483689706,83.8230000808835,25,0.4032258064516129,25,0.10080645161290322,0.04795691267715126,0.03518766358054956,0.13782864824313837,0.13347495802795098
2,action_bias,0.135,x,positive,2,101,False,500,485.8686977719852,625.5161999724805,57,0.114,57,0.0285,0.055203811819007687,0.03583902212481013,0.16556551111215606,0.14665444012491696
2,action_bias,0.135,x,positive,3,102,True,56,138.46188392371064,94.8588999453932,22,0.39285714285714285,22,0.09821428571428571,0.04555186993891353,0.03171609720071592,0.13554101999558085,0.13369360950971484
2,action_bias,0.135,x,positive,4,103,False,500,291.86056825298147,685.904199955985,49,0.098,49,0.0245,0.16560954653072774,0.03779303292781981,0.07569162910197659,0.06301277170251318
2,action_bias,0.135,x,positive,5,104,True,59,144.3261294228327,80.24849998764694,23,0.3898305084745763,23,0.09745762711864407,0.04598451539749325,0.034322554489770805,0.12230922803920978,0.12000426832573775
2,action_bias,0.135,x,positive,6,105,True,59,157.26165264342134,77.92429998517036,27,0.4576271186440678,27,0.11440677966101695,0.047005424833793566,0.033905355713982684,0.1514992530618339,0.14992730822995304
2,action_bias,0.135,x,positive,7,106,False,500,3461.0582788564734,612.2913998551667,61,0.122,61,0.0305,0.06986539398401584,0.03523741262449973,0.20209853267009653,0.1272500001777782
2,action_bias,0.135,x,positive,8,107,True,223,974.9649218860054,259.18040005490184,61,0.273542600896861,61,0.06838565022421525,0.04880677447391597,0.03520415834573292,0.18400256860336003,0.17747739964610232
2,action_bias,0.135,x,positive,9,108,True,61,174.25503910825955,89.53869994729757,30,0.4918032786885246,40,0.16393442622950818,0.048907305009961786,0.030884356368561353,0.22954158702714086,0.22519597774732766
2,action_bias,0.135,x,positive,10,109,False,500,130.14816984597678,653.0927000567317,46,0.092,46,0.023,0.19209286391212416,0.0364166496930262,0.05897293850614473,0.03646519947164131
2,action_bias,0.135,x,positive,11,110,True,59,157.56090026215256,80.13140014372766,25,0.423728813559322,36,0.15254237288135594,0.04686611119516433,0.03085194378109916,0.21664757582513444,0.21482507440986515
2,action_bias,0.135,x,positive,12,111,True,58,157.53472086794562,67.50120013020933,27,0.46551724137931033,27,0.11637931034482758,0.04585163213297665,0.032081140826908425,0.16261299552214667,0.161054102725405
2,action_bias,0.135,x,positive,13,112,True,67,179.09057901057514,81.0090999584645,30,0.44776119402985076,30,0.11194029850746269,0.04938419191900816,0.03396544870582133,0.1804297935572746,0.177631959063295
2,action_bias,0.135,x,positive,14,113,False,500,319.0836462242908,578.1497999560088,50,0.1,52,0.026,0.27140598137824984,0.03844195718269889,0.009828798888010838,0.0015371284307995614
2,action_bias,0.135,x,positive,15,114,True,70,240.50685815678798,88.88450008817017,34,0.4857142857142857,39,0.1392857142857143,0.04720312220263813,0.03149159770176869,0.24049265474549714,0.23150838239552785
2,action_bias,0.135,x,positive,16,115,True,183,659.008681859988,195.2100999187678,61,0.3333333333333333,61,0.08333333333333333,0.04779471098905761,0.0350249618654489,0.18301715455821074,0.17823875434530057
2,action_bias,0.135,x,positive,17,116,True,66,200.65919635183658,90.01850010827184,33,0.5,33,0.125,0.04939024454711029,0.033131442226537654,0.20510932327191284,0.19797961306668632
2,action_bias,0.135,x,positive,18,117,True,144,360.4990462823765,182.5973999220878,46,0.3194444444444444,46,0.0798611111111111,0.04700652151118446,0.03679503078687947,0.13757633525511653,0.13614531724642365
2,action_bias,0.135,x,positive,19,118,False,500,108.83416689140945,608.5803001187742,47,0.094,49,0.0245,0.19103524945016134,0.037709641569191606,0.05636285864899827,0.029670253773443983
2,action_bias,0.135,x,positive,20,119,True,67,234.55441511072215,85.81500011496246,37,0.5522388059701493,40,0.14925373134328357,0.04781077468718816,0.03148046187343271,0.2512133955282704,0.2427955915704534
2,action_bias,0.14,x,positive,1,100,True,62,160.83325231225294,78.89230013825,25,0.4032258064516129,25,0.10080645161290322,0.04798961279404901,0.03535001673837,0.1378033665125005,0.13344225791105324
2,action_bias,0.14,x,positive,2,101,False,500,267.31106363401636,557.2030998300761,59,0.118,59,0.0295,0.27405850570498086,0.03623384423183877,0.08170872584526213,-0.07220025376105621
2,action_bias,0.14,x,positive,3,102,True,56,138.29901789647295,71.84599991887808,22,0.39285714285714285,22,0.09821428571428571,0.04558926534078603,0.031830158605528416,0.13551351123906746,0.13365621410784234
2,action_bias,0.14,x,positive,4,103,False,500,135.1491636043736,617.6100999582559,48,0.096,48,0.024,0.1929874687334228,0.0382325979787761,0.04918587512740748,0.03563484949981813
2,action_bias,0.14,x,positive,5,104,True,59,142.94968662539424,73.33309995010495,23,0.3898305084745763,23,0.09745762711864407,0.04600867888914565,0.034472428571172754,0.1222921176688186,0.11998010483408536
