schema_version,planner,injected_bias_axis,injected_bias_sign,injected_bias_magnitude,episode_id,seed,trial,correction_axis,correction_direction,correction_magnitude,success,steps,episode_return,elapsed_time_ms,final_object_goal_distance,minimum_gripper_object_distance,object_displacement,progress_to_goal,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,trajectory_path,video_path,probe_environment_steps,correction_schedule,approach_steps,push_steps,near_goal_steps
1,probe_rule,y,positive,0.145,1,220,1,none,none,0.0,True,80,293.43135307536795,109.23700011335313,0.04914020097317939,0.039616309920748174,0.12435055211896842,0.12412083519332467,23,0.2875,23,0.071875,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed220_trial01.jsonl,,0,whole,32,35,13
1,probe_rule,y,positive,0.145,2,221,1,none,none,0.0,True,65,259.74374236934693,89.80890014208853,0.047628844669271087,0.03834671214766476,0.23568059857731347,0.23074473746759067,32,0.49230769230769234,34,0.13076923076923078,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed221_trial01.jsonl,,0,whole,20,40,5
1,probe_rule,y,positive,0.145,3,222,1,none,none,0.0,True,71,221.93529378044863,88.93620013259351,0.048026647395291035,0.03948697400081214,0.15130953494410307,0.146934273801304,23,0.323943661971831,28,0.09859154929577464,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed222_trial01.jsonl,,0,whole,32,32,7
1,probe_rule,y,positive,0.145,4,223,1,none,none,0.0,True,58,161.55899438880394,96.2685002014041,0.04894486025312488,0.03868498912538706,0.12707877862564015,0.12688849127149865,24,0.41379310344827586,24,0.10344827586206896,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed223_trial01.jsonl,,0,whole,29,26,3
1,probe_rule,y,positive,0.145,5,224,1,none,none,0.0,True,73,270.6154685397106,96.03479993529618,0.04893467221670335,0.038613449770563725,0.172960405442843,0.17069945702543898,30,0.410958904109589,30,0.10273972602739725,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed224_trial01.jsonl,,0,whole,30,32,11
1,probe_rule,y,positive,0.145,6,225,1,none,none,0.0,True,65,248.79054221835023,89.4027000758797,0.0480834142118126,0.03699293915579554,0.2429718312633468,0.2382181045209103,36,0.5538461538461539,36,0.13846153846153847,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed225_trial01.jsonl,,0,whole,23,36,6
1,probe_rule,y,positive,0.145,7,226,1,none,none,0.0,False,500,2784.985896812077,592.2145000658929,0.4626263957532821,0.03920154417283062,0.36318198429840576,-0.1478492253005158,31,0.062,44,0.022,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed226_trial01.jsonl,,0,whole,31,469,0
1,probe_rule,y,positive,0.145,7,226,2,y,negative,0.12,True,71,262.5937787327285,84.84319993294775,0.04791952022658484,0.03339315794454234,0.2759234688186718,0.26685765022618146,37,0.5211267605633803,49,0.17253521126760563,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed226_trial02.jsonl,,32,whole,31,33,7
1,probe_rule,y,positive,0.145,8,227,1,none,none,0.0,True,62,259.64676483676897,77.64010014943779,0.04729357802464823,0.03784809499739257,0.25160958308306436,0.24379711636916573,35,0.5645161290322581,39,0.15725806451612903,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed227_trial01.jsonl,,0,whole,18,38,6
1,probe_rule,y,positive,0.145,9,228,1,none,none,0.0,True,68,200.8952038083623,90.2900998480618,0.04601309418619976,0.039316834464515685,0.20581875515985207,0.20473919186663753,27,0.39705882352941174,38,0.13970588235294118,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed228_trial01.jsonl,,0,whole,31,33,4
1,probe_rule,y,positive,0.145,10,229,1,none,none,0.0,True,64,230.37940809636876,77.17210007831454,0.04727640187034644,0.03847156335857075,0.19255013628381232,0.19068397589089325,31,0.484375,31,0.12109375,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\fault_matrix\trajectories\y_positive\probe_rule_seed229_trial01.jsonl,,0,whole,24,34,6
