schema_version,planner,injected_bias_axis,injected_bias_sign,injected_bias_magnitude,episode_id,seed,trial,correction_axis,correction_direction,correction_magnitude,success,steps,episode_return,elapsed_time_ms,final_object_goal_distance,minimum_gripper_object_distance,object_displacement,progress_to_goal,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,trajectory_path,video_path,probe_environment_steps,correction_schedule,approach_steps,push_steps,near_goal_steps
1,probe_rule,x,positive,0.145,1,200,1,none,none,0.0,False,500,102.82722243127787,608.7054999079555,0.17438112495166683,0.03880722308329844,0.052466705329275304,0.036290893048747525,48,0.096,48,0.024,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed200_trial01.jsonl,,0,phase_aware,76,424,0
1,probe_rule,x,positive,0.145,1,200,2,x,negative,0.1,True,68,185.65810115049737,84.16399988345802,0.047104302174997406,0.03600371224349861,0.16964747949279452,0.16356771582541696,27,0.39705882352941174,27,0.09926470588235294,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed200_trial02.jsonl,,32,phase_aware,36,26,6
1,probe_rule,x,positive,0.145,2,201,1,none,none,0.0,False,500,251.325310789672,648.4999000094831,0.15317965051243992,0.0476034874928748,0.0493745086909625,0.03374939186234968,55,0.11,55,0.0275,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed201_trial01.jsonl,,0,phase_aware,104,396,0
1,probe_rule,x,positive,0.145,2,201,2,x,negative,0.1,True,57,166.36038125774343,72.62409990653396,0.04895574789296534,0.031553552504410484,0.13966982264608754,0.13797329448182427,24,0.42105263157894735,24,0.10526315789473684,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed201_trial02.jsonl,,32,phase_aware,30,23,4
1,probe_rule,x,positive,0.145,3,202,1,none,none,0.0,True,62,186.47378182354262,74.7857999522239,0.04674921028811236,0.0338610201340028,0.1931165363050946,0.187521080303003,24,0.3870967741935484,33,0.13306451612903225,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed202_trial01.jsonl,,0,phase_aware,32,24,6
1,probe_rule,x,positive,0.145,4,203,1,none,none,0.0,False,500,271.5136907945689,611.9008001405746,0.2210710381789315,0.035168584276658255,0.11131817248186546,-0.012401082160905352,107,0.214,107,0.0535,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed203_trial01.jsonl,,0,phase_aware,142,358,0
1,probe_rule,x,positive,0.145,4,203,2,x,negative,0.1,True,60,176.66813397157057,80.63149987719953,0.04557837828541218,0.03302631777466566,0.1650100721704704,0.16309157773261396,28,0.4666666666666667,28,0.11666666666666667,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed203_trial02.jsonl,,32,phase_aware,27,28,5
1,probe_rule,x,positive,0.145,5,204,1,none,none,0.0,False,500,232.9528246909854,646.6193001251668,0.20851790285881097,0.03889401963667103,0.04909055108625729,0.016961807757198827,48,0.096,48,0.024,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed204_trial01.jsonl,,0,phase_aware,62,438,0
1,probe_rule,x,positive,0.145,5,204,2,x,negative,0.1,True,56,170.33766825023045,79.65740002691746,0.04967353166443589,0.0342961920907646,0.17757377071355135,0.1758061789515739,29,0.5178571428571429,29,0.12946428571428573,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed204_trial02.jsonl,,32,phase_aware,24,27,5
1,probe_rule,x,positive,0.145,6,205,1,none,none,0.0,True,266,1420.2906061594813,320.67400007508695,0.047559546699904476,0.035687375108130394,0.17161293550181558,0.15091114103693135,61,0.22932330827067668,61,0.05733082706766917,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\heldout\trajectories\phase_aware\probe_rule_seed205_trial01.jsonl,,0,phase_aware,39,38,189
