experiment_run_id,manifest_id,source_git_commit,pair_id,pair_role,case_id,condition_id,seed,mechanism_class_oracle,standardized_pair_distance
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_01,bias,heldout_case_0038,fault_04,337,stable_bias,0.9415039870080495
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_01,noise,heldout_case_0041,fault_05,330,stochastic_noise,0.9415039870080495
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_02,bias,heldout_case_0032,fault_04,331,stable_bias,0.42549997085547675
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_02,noise,heldout_case_0043,fault_05,332,stochastic_noise,0.42549997085547675
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_03,bias,heldout_case_0025,fault_03,334,stable_bias,0.24441046903519126
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_03,noise,heldout_case_0045,fault_05,334,stochastic_noise,0.24441046903519126
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_04,bias,heldout_case_0014,fault_02,333,stable_bias,6.3025936943643135
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_04,noise,heldout_case_0046,fault_05,335,stochastic_noise,6.3025936943643135
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_05,bias,heldout_case_0023,fault_03,332,stable_bias,0.2258766736066209
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_05,noise,heldout_case_0047,fault_05,336,stochastic_noise,0.2258766736066209
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_06,bias,heldout_case_0007,fault_01,336,stable_bias,1.360074302066811
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,pair_06,noise,heldout_case_0049,fault_05,338,stochastic_noise,1.360074302066811
