experiment_run_id,source_git_commit,case_id,episode_id,seed,decision_required,initial_success,initial_steps,initial_return,initial_final_object_goal_distance,paired_comparable,compensation_available,best_candidate_ids,condition_id,mechanism_class_oracle,passive_prediction,probe_prediction,probe_score,probe_relative_bias_std,probe_mean_estimation_residual,probe_sign_disagreement,phase_inconsistency,temporal_uncertainty,passive_candidate,probe_candidate,oracle_mechanism_candidate,compensation_unavailable_reason,passive_candidate_is_best,probe_candidate_is_best,oracle_mechanism_candidate_is_best,belief_changed,intervention_changed,probe_vs_passive_selected_outcome,registered_probe_environment_steps,initial_perturbation_seed,probe_perturbation_seed_base,verification_perturbation_seed
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0001,1,500,False,True,160,502.8809436390173,0.04788925802760639,False,,,,,,,,,,,,,,,,,,,,,,,,,,
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0002,2,501,False,True,153,183.19022535679645,0.04904552275152411,False,,,,,,,,,,,,,,,,,,,,,,,,,,
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0003,3,502,False,True,96,290.7781952477324,0.046023485271089334,False,,,,,,,,,,,,,,,,,,,,,,,,,,
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0004,4,503,True,False,500,341.9007132515506,0.2875898020850677,True,True,stochastic_retry,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.17614161612209409,1.3664692266765235,3.0117835849992196e-05,0.5,0.9699910571399465,0.9773449201909422,stochastic_retry,stochastic_retry,stochastic_retry,,True,True,True,False,False,tie,64,354102094,1388091867,3723433355
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0005,5,504,True,False,500,218.69104787784886,0.28689047484665375,True,True,stochastic_retry,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.4326089758888382,2.4095449656719117,3.227906726228194e-05,0.75,0.9786812631013999,0.9777975279979835,probe_grounded_compensation,stochastic_retry,stochastic_retry,,False,True,True,True,True,left_better,64,1279982632,762610040,530314123
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0006,6,505,True,False,500,417.9333444462304,0.3276921161013817,True,True,stochastic_retry,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.29160758194029274,0.588970528840507,5.6320335204620676e-05,0.0,0.9663031770736915,0.961053228597694,stochastic_retry,stochastic_retry,stochastic_retry,,True,True,True,False,False,tie,64,802954801,2163948588,1484255310
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0007,7,506,False,True,94,317.2697093858985,0.04841771778420637,False,,,,,,,,,,,,,,,,,,,,,,,,,,
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0008,8,507,True,False,500,422.735033823435,0.37853622764808315,True,True,stochastic_retry,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.2692789973273807,0.7480720622768785,2.9717966132608913e-05,0.0,0.995461123630798,0.9989610469985203,stochastic_retry,stochastic_retry,stochastic_retry,,True,True,True,False,False,tie,64,1645996930,1594984723,3959867756
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0009,9,508,False,True,115,378.0126936132741,0.04764554053299765,False,,,,,,,,,,,,,,,,,,,,,,,,,,
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0010,10,509,False,True,150,384.438679228832,0.047374572821352275,False,,,,,,,,,,,,,,,,,,,,,,,,,,
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0011,11,510,False,True,179,661.1769371040496,0.04972093596465285,False,,,,,,,,,,,,,,,,,,,,,,,,,,
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0012,12,511,False,True,82,248.82577678893009,0.04965604073456195,False,,,,,,,,,,,,,,,,,,,,,,,,,,
development_20260731T065555Z_c214dc0f4a08,c214dc0f4a08b233986f3288a8620260d7845ec5,development_case_0013,13,512,False,True,215,892.4957846207215,0.048274688905413136,False,,,,,,,,,,,,,,,,,,,,,,,,,,
