perturbation_type,perturbation_level,episode_id,seed,success,steps,episode_return,elapsed_time_ms,clip_count,clip_fraction
action_scale,1.0,1,100,True,63,196.04648523684057,71.82060019113123,25,0.3968253968253968
action_scale,0.8,1,100,True,72,210.65995442868967,72.08049995824695,19,0.2638888888888889
action_scale,0.6,1,100,True,124,509.3799804338461,120.34480017609894,7,0.056451612903225805
action_scale,0.4,1,100,True,165,476.9908778902585,151.84599999338388,0,0.0
action_scale,0.2,1,100,True,316,822.6896460702437,341.33090008981526,0,0.0
gaussian_noise,0.0,1,100,True,63,196.04648523684057,64.6811998449266,25,0.3968253968253968
gaussian_noise,0.02,1,100,True,63,195.52015551386563,66.85160007327795,26,0.4126984126984127
gaussian_noise,0.05,1,100,True,64,199.45265261527317,80.43799991719425,25,0.390625
gaussian_noise,0.1,1,100,True,64,194.4489443602424,67.9727999959141,28,0.4375
gaussian_noise,0.2,1,100,True,67,204.43376140565104,72.58339994587004,31,0.4626865671641791
action_bias,0.0,1,100,True,63,196.04648523684057,64.80800011195242,25,0.3968253968253968
action_bias,0.02,1,100,True,63,194.0513846164548,69.36960015445948,25,0.3968253968253968
action_bias,0.05,1,100,True,115,614.4420068569166,116.07269989326596,24,0.20869565217391303
action_bias,0.1,1,100,False,500,263.6660190353564,495.0315998867154,14,0.028
action_bias,0.15,1,100,False,500,116.62055756031958,440.6788998749107,287,0.574
action_scale,1.0,2,101,True,63,192.30939421225133,66.30910001695156,30,0.47619047619047616
action_scale,0.8,2,101,True,73,217.24068478846226,71.73369987867773,21,0.2876712328767123
action_scale,0.6,2,101,True,116,435.42087978958114,111.75180017016828,10,0.08620689655172414
action_scale,0.4,2,101,True,167,486.21582134995697,152.90159988217056,0,0.0
action_scale,0.2,2,101,True,320,844.4570410329789,302.5299001019448,0,0.0
gaussian_noise,0.0,2,101,True,63,192.30939421225133,76.38989994302392,30,0.47619047619047616
gaussian_noise,0.02,2,101,True,64,201.21063063286874,71.95280003361404,31,0.484375
gaussian_noise,0.05,2,101,True,63,201.06438614061642,67.21309991553426,30,0.47619047619047616
gaussian_noise,0.1,2,101,True,63,199.77589132480034,63.16219992004335,30,0.47619047619047616
gaussian_noise,0.2,2,101,True,61,192.44490559546506,88.37049989961088,29,0.47540983606557374
action_bias,0.0,2,101,True,63,192.30939421225133,65.55079994723201,30,0.47619047619047616
action_bias,0.02,2,101,True,64,199.24966120204772,69.64359991252422,30,0.46875
action_bias,0.05,2,101,True,92,368.9105611620573,102.41669998504221,28,0.30434782608695654
action_bias,0.1,2,101,False,500,285.8630802491789,511.6741999518126,17,0.034
action_bias,0.15,2,101,False,500,144.17577250924026,403.9476001635194,282,0.564
action_scale,1.0,3,102,True,54,138.69793980503897,53.10210003517568,22,0.4074074074074074
action_scale,0.8,3,102,True,61,164.60639151435208,59.16139995679259,16,0.26229508196721313
action_scale,0.6,3,102,True,82,245.09892486784054,78.96979991346598,0,0.0
