method,episode_id,seed,first_status,first_observed_progress,selected_second_skill,final_accepted,harmful_selection,second_attempt,total_environment_steps
single_retry,1,3500,ACCEPTED,0.2863981814661981,STOP,True,False,False,646
always_repeat,1,3500,ACCEPTED,0.2863981814661981,STOP,True,False,False,646
always_switch,1,3500,ACCEPTED,0.2863981814661981,STOP,True,False,False,646
frozen_status_rule,1,3500,ACCEPTED,0.2863981814661981,STOP,True,False,False,646
zero_progress_rule,1,3500,ACCEPTED,0.2863981814661981,STOP,True,False,False,646
oracle_second,1,3500,ACCEPTED,0.2863981814661981,STOP,True,False,False,646
single_retry,3,3502,ACCEPTED,0.11624455034837156,STOP,True,False,False,639
always_repeat,3,3502,ACCEPTED,0.11624455034837156,STOP,True,False,False,639
always_switch,3,3502,ACCEPTED,0.11624455034837156,STOP,True,False,False,639
frozen_status_rule,3,3502,ACCEPTED,0.11624455034837156,STOP,True,False,False,639
zero_progress_rule,3,3502,ACCEPTED,0.11624455034837156,STOP,True,False,False,639
oracle_second,3,3502,ACCEPTED,0.11624455034837156,STOP,True,False,False,639
single_retry,4,3503,ACCEPTED,0.1758868754394442,STOP,True,False,False,635
always_repeat,4,3503,ACCEPTED,0.1758868754394442,STOP,True,False,False,635
always_switch,4,3503,ACCEPTED,0.1758868754394442,STOP,True,False,False,635
frozen_status_rule,4,3503,ACCEPTED,0.1758868754394442,STOP,True,False,False,635
zero_progress_rule,4,3503,ACCEPTED,0.1758868754394442,STOP,True,False,False,635
oracle_second,4,3503,ACCEPTED,0.1758868754394442,STOP,True,False,False,635
single_retry,7,3506,ACCEPTED,0.18695366396321228,STOP,True,False,False,656
always_repeat,7,3506,ACCEPTED,0.18695366396321228,STOP,True,False,False,656
always_switch,7,3506,ACCEPTED,0.18695366396321228,STOP,True,False,False,656
frozen_status_rule,7,3506,ACCEPTED,0.18695366396321228,STOP,True,False,False,656
zero_progress_rule,7,3506,ACCEPTED,0.18695366396321228,STOP,True,False,False,656
oracle_second,7,3506,ACCEPTED,0.18695366396321228,STOP,True,False,False,656
single_retry,10,3509,INCONCLUSIVE,0.07032606714577469,STOP,False,False,False,1064
