experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,probe_steps,paired_candidate_eligible,ineligibility_reason,operational_index,evaluator_collection_steps,candidate_id,paired_verification_seed,verification_status,verification_success,verification_steps,final_object_goal_distance,observed_progress,outcome_timestamp_ns
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,10,2209,fault_05,False,True,500,0.16709913588588818,64,True,,1,1064,BOUNDED_PLANAR_COMPENSATION,4249420299,REJECTED,False,500,0.3061974908988785,-0.1390983550129903,163586628259900
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,10,2209,fault_05,False,True,500,0.16709913588588818,64,True,,1,1216,INDEPENDENT_STOCHASTIC_RETRY,4249420299,ACCEPTED,True,152,0.04956832627087546,0.11753080961501272,163587794763900
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,11,2210,fault_05,False,True,500,0.26735847403335716,64,True,,2,695,BOUNDED_PLANAR_COMPENSATION,1080522992,ACCEPTED,True,131,0.04526207744244715,0.22209639659091002,163591888249300
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,11,2210,fault_05,False,True,500,0.26735847403335716,64,True,,2,1195,INDEPENDENT_STOCHASTIC_RETRY,1080522992,INCONCLUSIVE,False,500,0.17134771593803136,0.0960107580953258,163593397081000
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,20,2219,fault_05,False,True,500,0.553570083229771,64,True,,3,1064,BOUNDED_PLANAR_COMPENSATION,3729192018,INCONCLUSIVE,False,500,0.2581392978801794,0.29543078534959155,163607180331800
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,20,2219,fault_05,False,True,500,0.553570083229771,64,True,,3,1168,INDEPENDENT_STOCHASTIC_RETRY,3729192018,ACCEPTED,True,104,0.048889355297139434,0.5046807279326315,163608271568100
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,22,2221,fault_05,False,True,500,0.24984346295157894,64,True,,4,629,BOUNDED_PLANAR_COMPENSATION,3903750810,ACCEPTED,True,65,0.04728455969709568,0.20255890325448328,163613738750100
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,22,2221,fault_05,False,True,500,0.24984346295157894,64,True,,4,731,INDEPENDENT_STOCHASTIC_RETRY,3903750810,ACCEPTED,True,102,0.04776286333323353,0.2020805996183454,163614805787800
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,23,2222,fault_05,False,True,500,0.23876419468513232,64,True,,5,1064,BOUNDED_PLANAR_COMPENSATION,3645445269,REJECTED,False,500,0.2418155842985118,-0.003051389613379474,163619241271700
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,23,2222,fault_05,False,True,500,0.23876419468513232,64,True,,5,1564,INDEPENDENT_STOCHASTIC_RETRY,3645445269,REJECTED,False,500,0.30182627531543155,-0.06306208063029922,163620725428600
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,26,2225,fault_05,False,True,500,0.11839352444977941,64,True,,6,682,BOUNDED_PLANAR_COMPENSATION,1637741081,ACCEPTED,True,118,0.04564494531443972,0.07274857913533969,163627083255200
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,26,2225,fault_05,False,True,500,0.11839352444977941,64,True,,6,1182,INDEPENDENT_STOCHASTIC_RETRY,1637741081,REJECTED,False,500,0.1361808255855346,-0.01778730113575519,163628595463800
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,28,2227,fault_05,False,True,500,0.20836947793712685,64,True,,7,622,BOUNDED_PLANAR_COMPENSATION,4102144492,ACCEPTED,True,58,0.04915516005160226,0.1592143178855246,163634520046400
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,28,2227,fault_05,False,True,500,0.20836947793712685,64,True,,7,749,INDEPENDENT_STOCHASTIC_RETRY,4102144492,ACCEPTED,True,127,0.047667173680082935,0.1607023042570439,163635758977300
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,31,2230,fault_05,False,True,500,0.29427061097767265,64,True,,8,786,BOUNDED_PLANAR_COMPENSATION,2912597558,ACCEPTED,True,222,0.047843056102351185,0.24642755487532148,163642219735000
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,31,2230,fault_05,False,True,500,0.29427061097767265,64,True,,8,898,INDEPENDENT_STOCHASTIC_RETRY,2912597558,ACCEPTED,True,112,0.04775798714779733,0.24651262382987532,163643292987000
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,38,2237,fault_05,False,True,500,0.24731104274615812,64,True,,9,1064,BOUNDED_PLANAR_COMPENSATION,4254327955,INCONCLUSIVE,False,500,0.22887007993003597,0.018440962816122147,163654853190900
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,38,2237,fault_05,False,True,500,0.24731104274615812,64,True,,9,1229,INDEPENDENT_STOCHASTIC_RETRY,4254327955,ACCEPTED,True,165,0.04737774005224708,0.19993330269391102,163655972375800
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,39,2238,fault_05,False,True,500,0.3969754923976028,64,True,,10,653,BOUNDED_PLANAR_COMPENSATION,4217677318,ACCEPTED,True,89,0.049420645755553445,0.3475548466420494,163660009566300
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,39,2238,fault_05,False,True,500,0.3969754923976028,64,True,,10,1153,INDEPENDENT_STOCHASTIC_RETRY,4217677318,INCONCLUSIVE,False,500,0.27827483569587663,0.11870065670172619,163661617563600
