episode_id,seed,realization_index,first_status,first_observed_progress,negative_first_final_object_goal_distance,compensation_accepted,retry_accepted,exclusive_recovery,exclusive_retry_label,status_rule_accepted,always_repeat_accepted,always_switch_accepted,candidate_winner
4,3303,2,REJECTED,-0.051700551690337354,-0.2692776309934933,True,True,False,False,True,True,True,BOTH
4,3303,3,REJECTED,-0.09069484691897631,-0.30827192622213223,True,True,False,False,True,True,True,BOTH
4,3303,4,REJECTED,-0.002989394725599781,-0.2205664740287557,False,False,False,False,False,False,False,NEITHER
8,3307,1,INCONCLUSIVE,0.04964253814441627,-0.2013231518846882,True,False,True,False,False,False,True,BOUNDED_PLANAR_COMPENSATION
8,3307,4,INCONCLUSIVE,0.11348936087270967,-0.1374763291563948,False,True,True,True,True,True,False,INDEPENDENT_STOCHASTIC_RETRY
10,3309,1,REJECTED,-0.07291666555784224,-0.2730413354499275,False,True,True,True,False,True,False,INDEPENDENT_STOCHASTIC_RETRY
11,3310,1,INCONCLUSIVE,0.06779919793422585,-0.10154499625042389,False,False,False,False,False,False,False,NEITHER
11,3310,2,REJECTED,-0.11345315810598994,-0.2827973522906397,False,True,True,True,False,True,False,INDEPENDENT_STOCHASTIC_RETRY
19,3318,3,REJECTED,-0.14260618345444043,-0.4215126073291703,True,False,True,False,True,False,True,BOUNDED_PLANAR_COMPENSATION
27,3326,2,REJECTED,-0.24227320664719393,-0.3219680366778665,True,False,True,False,True,False,True,BOUNDED_PLANAR_COMPENSATION
34,3333,1,REJECTED,-0.1068307284707323,-0.2984849722483906,True,False,True,False,True,False,True,BOUNDED_PLANAR_COMPENSATION
34,3333,4,REJECTED,-0.04978927602357955,-0.24144351980123785,True,True,False,False,True,True,True,BOTH
35,3334,1,REJECTED,-0.04084661802854536,-0.2749206229903955,False,False,False,False,False,False,False,NEITHER
35,3334,2,REJECTED,-0.027989244888614845,-0.262063249850465,True,True,False,False,True,True,True,BOTH
35,3334,4,INCONCLUSIVE,0.03837211672251353,-0.1957018882393366,True,True,False,False,True,True,True,BOTH
42,3341,3,REJECTED,-0.017496830203127672,-0.21120580208965134,True,False,True,False,True,False,True,BOUNDED_PLANAR_COMPENSATION
48,3347,3,INCONCLUSIVE,0.04638470914879744,-0.2737533973867936,False,True,True,True,True,True,False,INDEPENDENT_STOCHASTIC_RETRY
48,3347,4,INCONCLUSIVE,0.043626591504969836,-0.2765115150306212,False,False,False,False,False,False,False,NEITHER
57,3356,2,INCONCLUSIVE,0.32590729588921286,-0.2698475156888699,False,False,False,False,False,False,False,NEITHER
59,3358,3,REJECTED,-0.1634228014221892,-0.30782693102462494,False,True,True,True,False,True,False,INDEPENDENT_STOCHASTIC_RETRY
59,3358,4,REJECTED,-0.011766762086609345,-0.15617089168904508,False,True,True,True,False,True,False,INDEPENDENT_STOCHASTIC_RETRY
60,3359,4,REJECTED,-0.08534362977048335,-0.31446558805772196,True,True,False,False,True,True,True,BOTH
61,3360,2,INCONCLUSIVE,0.09290157238030253,-0.24212688165099436,False,False,False,False,False,False,False,NEITHER
75,3374,1,INCONCLUSIVE,0.1525187592809248,-0.2604326484490758,True,True,False,False,True,True,True,BOTH
75,3374,3,INCONCLUSIVE,0.3075565228163652,-0.10539488491363543,True,True,False,False,True,True,True,BOTH
78,3377,1,INCONCLUSIVE,0.2365213492452654,-0.13625072399157195,False,False,False,False,False,False,False,NEITHER
78,3377,3,INCONCLUSIVE,0.09075732119093144,-0.2820147520459059,False,True,True,True,True,True,False,INDEPENDENT_STOCHASTIC_RETRY
79,3378,3,INCONCLUSIVE,0.06686833277871337,-0.18361500959545615,False,True,True,True,True,True,False,INDEPENDENT_STOCHASTIC_RETRY
83,3382,1,INCONCLUSIVE,0.09338157407537125,-0.10722547347511903,False,True,True,True,True,True,False,INDEPENDENT_STOCHASTIC_RETRY
86,3385,1,REJECTED,-0.02444920862839786,-0.2379673349529678,False,True,True,True,False,True,False,INDEPENDENT_STOCHASTIC_RETRY
86,3385,4,INCONCLUSIVE,0.04259227079794986,-0.17092585552662007,False,True,True,True,True,True,False,INDEPENDENT_STOCHASTIC_RETRY
88,3387,1,REJECTED,-0.07311683804067542,-0.438473197712716,False,False,False,False,False,False,False,NEITHER
99,3398,1,INCONCLUSIVE,0.3059896489982684,-0.12024367794744181,False,True,True,True,True,True,False,INDEPENDENT_STOCHASTIC_RETRY
99,3398,2,INCONCLUSIVE,0.18385689594315752,-0.24237643100255274,False,False,False,False,False,False,False,NEITHER
99,3398,3,INCONCLUSIVE,0.09938560776042454,-0.3268477191852857,False,True,True,True,True,True,False,INDEPENDENT_STOCHASTIC_RETRY
99,3398,4,INCONCLUSIVE,0.2565342050331348,-0.16969912191257547,False,True,True,True,True,True,False,INDEPENDENT_STOCHASTIC_RETRY
101,3400,2,REJECTED,-0.13028674277622376,-0.3510257558900768,True,True,False,False,True,True,True,BOTH
101,3400,3,REJECTED,-0.2934517925558523,-0.5141908056697053,True,True,False,False,True,True,True,BOTH
101,3400,4,REJECTED,-0.03172857882029767,-0.2524675919341507,True,False,True,False,True,False,True,BOUNDED_PLANAR_COMPENSATION
