episode_id,seed,modal_status,modal_share,mixed_status,accepted_count,inconclusive_count,rejected_count
4,3303,REJECTED,0.75,True,1,0,3
8,3307,INCONCLUSIVE,0.5,True,2,2,0
10,3309,ACCEPTED,0.75,True,3,0,1
11,3310,ACCEPTED,0.5,True,2,1,1
19,3318,ACCEPTED,0.75,True,3,0,1
27,3326,ACCEPTED,0.75,True,3,0,1
33,3332,ACCEPTED,1.0,False,4,0,0
34,3333,REJECTED,0.5,True,2,0,2
35,3334,REJECTED,0.5,True,1,1,2
41,3340,ACCEPTED,1.0,False,4,0,0
42,3341,ACCEPTED,0.75,True,3,0,1
44,3343,ACCEPTED,1.0,False,4,0,0
48,3347,INCONCLUSIVE,0.5,True,2,2,0
56,3355,ACCEPTED,1.0,False,4,0,0
57,3356,ACCEPTED,0.75,True,3,1,0
59,3358,REJECTED,0.5,True,2,0,2
60,3359,ACCEPTED,0.75,True,3,0,1
61,3360,ACCEPTED,0.75,True,3,1,0
68,3367,ACCEPTED,1.0,False,4,0,0
73,3372,ACCEPTED,1.0,False,4,0,0
74,3373,ACCEPTED,1.0,False,4,0,0
75,3374,INCONCLUSIVE,0.5,True,2,2,0
78,3377,INCONCLUSIVE,0.5,True,2,2,0
79,3378,ACCEPTED,0.75,True,3,1,0
83,3382,ACCEPTED,0.75,True,3,1,0
84,3383,ACCEPTED,1.0,False,4,0,0
86,3385,ACCEPTED,0.5,True,2,1,1
88,3387,ACCEPTED,0.75,True,3,0,1
99,3398,INCONCLUSIVE,1.0,False,0,4,0
101,3400,REJECTED,0.75,True,1,0,3
