unit_id,seed,regime_id_oracle,initial_success,decision_required,eligible,ineligibility_reason
1,4800,A_bias_low_noise,False,True,True,
2,4801,B_zero_mean_noise,False,True,True,
3,4802,C_bias_dominant_mixed,True,False,False,
4,4803,D_noise_dominant_mixed,True,False,False,
5,4804,A_bias_low_noise,False,True,True,
6,4805,B_zero_mean_noise,True,False,False,
7,4806,C_bias_dominant_mixed,True,False,False,
8,4807,D_noise_dominant_mixed,True,False,False,
9,4808,A_bias_low_noise,False,True,True,
10,4809,B_zero_mean_noise,True,False,False,
11,4810,C_bias_dominant_mixed,True,False,False,
12,4811,D_noise_dominant_mixed,True,False,False,
13,4812,A_bias_low_noise,True,False,False,
14,4813,B_zero_mean_noise,True,False,False,
15,4814,C_bias_dominant_mixed,True,False,False,
16,4815,D_noise_dominant_mixed,False,True,True,
17,4816,A_bias_low_noise,False,True,True,
18,4817,B_zero_mean_noise,True,False,False,
19,4818,C_bias_dominant_mixed,False,True,False,BOUNDED_COMPENSATION_NOT_CONSTRUCTIBLE
20,4819,D_noise_dominant_mixed,True,False,False,
21,4820,A_bias_low_noise,False,True,True,
22,4821,B_zero_mean_noise,True,False,False,
23,4822,C_bias_dominant_mixed,True,False,False,
24,4823,D_noise_dominant_mixed,True,False,False,
25,4824,A_bias_low_noise,True,False,False,
26,4825,B_zero_mean_noise,True,False,False,
27,4826,C_bias_dominant_mixed,True,False,False,
28,4827,D_noise_dominant_mixed,True,False,False,
29,4828,A_bias_low_noise,False,True,True,
30,4829,B_zero_mean_noise,False,True,True,
31,4830,C_bias_dominant_mixed,True,False,False,
32,4831,D_noise_dominant_mixed,True,False,False,
33,4832,A_bias_low_noise,False,True,True,
34,4833,B_zero_mean_noise,True,False,False,
35,4834,C_bias_dominant_mixed,False,True,True,
36,4835,D_noise_dominant_mixed,True,False,False,
37,4836,A_bias_low_noise,True,False,False,
38,4837,B_zero_mean_noise,True,False,False,
39,4838,C_bias_dominant_mixed,False,True,True,
40,4839,D_noise_dominant_mixed,True,False,False,
41,4840,A_bias_low_noise,False,True,True,
42,4841,B_zero_mean_noise,True,False,False,
43,4842,C_bias_dominant_mixed,True,False,False,
44,4843,D_noise_dominant_mixed,True,False,False,
45,4844,A_bias_low_noise,True,False,False,
46,4845,B_zero_mean_noise,False,True,True,
47,4846,C_bias_dominant_mixed,True,False,False,
48,4847,D_noise_dominant_mixed,True,False,False,
49,4848,A_bias_low_noise,False,True,True,
50,4849,B_zero_mean_noise,False,True,True,
51,4850,C_bias_dominant_mixed,True,False,False,
52,4851,D_noise_dominant_mixed,True,False,False,
53,4852,A_bias_low_noise,False,True,True,
54,4853,B_zero_mean_noise,False,True,True,
55,4854,C_bias_dominant_mixed,False,True,True,
56,4855,D_noise_dominant_mixed,True,False,False,
57,4856,A_bias_low_noise,True,False,False,
58,4857,B_zero_mean_noise,False,True,True,
59,4858,C_bias_dominant_mixed,True,False,False,
60,4859,D_noise_dominant_mixed,True,False,False,
61,4860,A_bias_low_noise,False,True,True,
62,4861,B_zero_mean_noise,True,False,False,
63,4862,C_bias_dominant_mixed,True,False,False,
64,4863,D_noise_dominant_mixed,True,False,False,
65,4864,A_bias_low_noise,False,True,True,
66,4865,B_zero_mean_noise,False,True,True,
67,4866,C_bias_dominant_mixed,False,True,True,
68,4867,D_noise_dominant_mixed,False,True,True,
69,4868,A_bias_low_noise,False,True,True,
70,4869,B_zero_mean_noise,True,False,False,
71,4870,C_bias_dominant_mixed,True,False,False,
72,4871,D_noise_dominant_mixed,False,True,True,
73,4872,A_bias_low_noise,True,False,False,
74,4873,B_zero_mean_noise,True,False,False,
75,4874,C_bias_dominant_mixed,True,False,False,
76,4875,D_noise_dominant_mixed,False,True,True,
77,4876,A_bias_low_noise,False,True,True,
78,4877,B_zero_mean_noise,True,False,False,
79,4878,C_bias_dominant_mixed,True,False,False,
80,4879,D_noise_dominant_mixed,True,False,False,
81,4880,A_bias_low_noise,True,False,False,
82,4881,B_zero_mean_noise,False,True,True,
83,4882,C_bias_dominant_mixed,True,False,False,
84,4883,D_noise_dominant_mixed,True,False,False,
85,4884,A_bias_low_noise,False,True,True,
86,4885,B_zero_mean_noise,False,True,True,
87,4886,C_bias_dominant_mixed,True,False,False,
88,4887,D_noise_dominant_mixed,False,True,True,
89,4888,A_bias_low_noise,False,True,True,
90,4889,B_zero_mean_noise,True,False,False,
91,4890,C_bias_dominant_mixed,True,False,False,
92,4891,D_noise_dominant_mixed,True,False,False,
93,4892,A_bias_low_noise,True,False,False,
94,4893,B_zero_mean_noise,False,True,True,
95,4894,C_bias_dominant_mixed,False,True,True,
96,4895,D_noise_dominant_mixed,True,False,False,
97,4896,A_bias_low_noise,True,False,False,
98,4897,B_zero_mean_noise,True,False,False,
99,4898,C_bias_dominant_mixed,True,False,False,
100,4899,D_noise_dominant_mixed,False,True,True,
