unit_id,seed,condition_id_oracle,assigned_skill,initial_success,initial_steps,initial_final_object_goal_distance,episode_id,verification_status,verification_success,verification_steps,probe_steps,final_object_goal_distance,operational,ineligibility_reason
1,4100,fault_01,BOUNDED_PLANAR_COMPENSATION,True,57,0.04945845025395302,,,False,0,0,,False,initial_success
2,4101,fault_01,INDEPENDENT_STOCHASTIC_RETRY,False,500,0.11150052438504514,1,REJECTED,False,500,64,0.11150052438504514,True,
3,4102,fault_05,BOUNDED_PLANAR_COMPENSATION,False,500,0.31686869250373295,2,INCONCLUSIVE,False,500,64,0.3108941056985573,True,
4,4103,fault_05,INDEPENDENT_STOCHASTIC_RETRY,True,188,0.04919379541177538,,,False,0,0,,False,initial_success
5,4104,fault_01,BOUNDED_PLANAR_COMPENSATION,True,57,0.044975295229238106,,,False,0,0,,False,initial_success
6,4105,fault_01,INDEPENDENT_STOCHASTIC_RETRY,False,500,0.1744394969992029,3,REJECTED,False,500,64,0.1744394969992029,True,
7,4106,fault_05,BOUNDED_PLANAR_COMPENSATION,True,61,0.04937128045670972,,,False,0,0,,False,initial_success
8,4107,fault_05,INDEPENDENT_STOCHASTIC_RETRY,False,500,0.34420268289693534,4,ACCEPTED,True,206,64,0.04983324847251388,True,
9,4108,fault_01,BOUNDED_PLANAR_COMPENSATION,True,62,0.046612871505298616,,,False,0,0,,False,initial_success
10,4109,fault_01,INDEPENDENT_STOCHASTIC_RETRY,False,500,0.34245834687736326,5,REJECTED,False,500,64,0.34245834687736326,True,
11,4110,fault_05,BOUNDED_PLANAR_COMPENSATION,True,133,0.049569961879978905,,,False,0,0,,False,initial_success
12,4111,fault_05,INDEPENDENT_STOCHASTIC_RETRY,True,129,0.04989261352408662,,,False,0,0,,False,initial_success
13,4112,fault_01,BOUNDED_PLANAR_COMPENSATION,False,500,0.24264504521898475,6,ACCEPTED,True,69,64,0.04798135955651692,True,
14,4113,fault_01,INDEPENDENT_STOCHASTIC_RETRY,False,500,0.48864729536286994,7,REJECTED,False,500,64,0.48864729536286994,True,
15,4114,fault_05,BOUNDED_PLANAR_COMPENSATION,True,86,0.04614952198520318,,,False,0,0,,False,initial_success
16,4115,fault_05,INDEPENDENT_STOCHASTIC_RETRY,True,150,0.049424061494297435,,,False,0,0,,False,initial_success
17,4116,fault_01,BOUNDED_PLANAR_COMPENSATION,True,66,0.04951532909380101,,,False,0,0,,False,initial_success
18,4117,fault_01,INDEPENDENT_STOCHASTIC_RETRY,True,63,0.04890937336738341,,,False,0,0,,False,initial_success
19,4118,fault_05,BOUNDED_PLANAR_COMPENSATION,False,500,0.273968958767052,8,INCONCLUSIVE,False,500,64,0.12542756742936875,True,
20,4119,fault_05,INDEPENDENT_STOCHASTIC_RETRY,True,73,0.04871546561742762,,,False,0,0,,False,initial_success
21,4120,fault_01,BOUNDED_PLANAR_COMPENSATION,False,500,0.24361187044691335,9,ACCEPTED,True,65,64,0.04954602941431881,True,
22,4121,fault_01,INDEPENDENT_STOCHASTIC_RETRY,True,68,0.0480889681600853,,,False,0,0,,False,initial_success
23,4122,fault_05,BOUNDED_PLANAR_COMPENSATION,True,106,0.04845998947194153,,,False,0,0,,False,initial_success
24,4123,fault_05,INDEPENDENT_STOCHASTIC_RETRY,False,500,0.4976473269824384,10,INCONCLUSIVE,False,500,64,0.42595762248089236,True,
25,4124,fault_01,BOUNDED_PLANAR_COMPENSATION,True,63,0.04928430359817448,,,False,0,0,,False,initial_success
