episode_id,seed,effect,segment_evaluator_only,stateless_skill,memory_skill,stateless_status,memory_status,variance_score,variance_threshold_margin,memory_prediction_margin,comp_global_accept,comp_recent_accept,comp_contradictions,retry_global_accept,retry_recent_accept,retry_contradictions,comp_retrieved_ids,retry_retrieved_ids,probe_signature,stateless_predictions,memory_predictions,memory_reason
28,4312,HELPFUL,bias_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,ACCEPTED,0.05442858832806695,0.06117979265566187,0.57,1.0,1.0,0,0.24463928368151994,0.25462654380190136,6,"[""glm_online_memory_resonance_episode22"", ""glm_online_memory_resonance_episode25"", ""glm_online_memory_resonance_episode23"", ""bootstrap_episode009_bounded_planar_compensation"", ""bootstrap_episode017_bounded_planar_compensation"", ""bootstrap_episode006_bounded_planar_compensation"", ""glm_online_memory_resonance_episode27"", ""bootstrap_episode014_bounded_planar_compensation"", ""bootstrap_episode019_bounded_planar_compensation"", ""glm_online_memory_resonance_episode24""]","[""bootstrap_episode015_independent_stochastic_retry"", ""bootstrap_episode003_independent_stochastic_retry"", ""glm_online_memory_resonance_episode21"", ""bootstrap_episode005_independent_stochastic_retry"", ""bootstrap_episode001_independent_stochastic_retry"", ""bootstrap_episode004_independent_stochastic_retry"", ""bootstrap_episode007_independent_stochastic_retry"", ""bootstrap_episode018_independent_stochastic_retry"", ""bootstrap_episode013_independent_stochastic_retry"", ""bootstrap_episode011_independent_stochastic_retry""]","{""estimated_bias_std_norm"": 0.05442858832806695, ""estimated_drift_norm"": 0.0005323928024921627, ""estimated_drift_x"": 0.0004167463820529407, ""estimated_drift_y"": -0.00033130733344018115, ""final_object_goal_distance"": 0.22124807874085428, ""phase_inconsistency"": 0.0, ""progress_to_goal"": 0.0130265098367017, ""repeat_response_consistency"": 0.7353329179881012}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.15, ""confidence"": 0.7, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.7, ""confidence"": 0.65, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.82, ""confidence"": 0.78, ""predicted_status"": ""ACCEPTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.25, ""confidence"": 0.72, ""predicted_status"": ""REJECTED""}}","Current probe shows small non-zero drift [0.000417, -0.000331] with low estimation residual (3.19e-07), but dominant_axis_sign_agreement of 0.5 and relative_bias_std of 0.36 indicate noisy direction stability. Memory overwhelmingly supports BOUNDED_PLANAR_COMPENSATION: 10 supporting instances, 0 contradictions, accepted_probability 1.0, coverage 0.90. INDEPENDENT_STOCHASTIC_RETRY has 6 contradictions and accepted_probability 0.25. Despite current probe ambiguity, strong historical evidence from 10 verified episodes with no contradictions favors bounded compensation over stochastic retry."
29,4314,TIE,bias_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,REJECTED,REJECTED,0.025969647787465817,0.089638733196263,0.62,1.0,1.0,0,0.2260829510335973,0.2531964504961569,6,"[""glm_online_memory_resonance_episode26"", ""bootstrap_episode014_bounded_planar_compensation"", ""bootstrap_episode019_bounded_planar_compensation"", ""bootstrap_episode017_bounded_planar_compensation"", ""glm_online_memory_resonance_episode28"", ""bootstrap_episode006_bounded_planar_compensation"", ""glm_online_memory_resonance_episode25"", ""glm_online_memory_resonance_episode22"", ""bootstrap_episode009_bounded_planar_compensation"", ""glm_online_memory_resonance_episode23""]","[""bootstrap_episode001_independent_stochastic_retry"", ""bootstrap_episode003_independent_stochastic_retry"", ""bootstrap_episode015_independent_stochastic_retry"", ""glm_online_memory_resonance_episode21"", ""bootstrap_episode005_independent_stochastic_retry"", ""bootstrap_episode004_independent_stochastic_retry"", ""bootstrap_episode011_independent_stochastic_retry"", ""bootstrap_episode018_independent_stochastic_retry"", ""bootstrap_episode007_independent_stochastic_retry"", ""bootstrap_episode013_independent_stochastic_retry""]","{""estimated_bias_std_norm"": 0.025969647787465817, ""estimated_drift_norm"": 0.000500822225734904, ""estimated_drift_x"": 0.0003924150186043714, ""estimated_drift_y"": -0.00031118058256227044, ""final_object_goal_distance"": 0.10515083502049588, ""phase_inconsistency"": 0.0, ""progress_to_goal"": 0.1426506181024295, ""repeat_response_consistency"": 0.8456046034542446}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.15, ""confidence"": 0.65, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.7, ""confidence"": 0.6, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.85, ""confidence"": 0.75, ""predicted_status"": ""ACCEPTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.23, ""confidence"": 0.82, ""predicted_status"": ""REJECTED""}}","Current probe shows small but nonzero drift (xy ~3e-4) with low bias std norm (0.026) and tiny estimation residual (3.19e-7), indicating reliable magnitude estimation. Sign agreement of 0.5 with only 4 samples is expected given the very small drift magnitude where measurement noise can flip signs. Memory strongly supports BOUNDED_PLANAR_COMPENSATION with 10 supporting records, 0 contradictions, and 1.0 acceptance probability across episodes 6-28. INDEPENDENT_STOCHASTIC_RETRY has 6 contradictions and low acceptance probability (0.23). Sufficient budget remains (500)."
32,4324,TIE,bias_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.03322177325298944,0.08238660773073939,0.41000000000000003,0.8914500590139641,0.7980043008899218,1,0.23236733501959722,0.24444451010137302,6,"[""glm_online_memory_resonance_episode30"", ""glm_online_memory_resonance_episode31"", ""glm_online_memory_resonance_episode28"", ""glm_online_memory_resonance_episode22"", ""bootstrap_episode017_bounded_planar_compensation"", ""bootstrap_episode006_bounded_planar_compensation"", ""bootstrap_episode014_bounded_planar_compensation"", ""glm_online_memory_resonance_episode25"", ""bootstrap_episode009_bounded_planar_compensation"", ""glm_online_memory_resonance_episode23""]","[""bootstrap_episode015_independent_stochastic_retry"", ""bootstrap_episode003_independent_stochastic_retry"", ""bootstrap_episode001_independent_stochastic_retry"", ""glm_online_memory_resonance_episode21"", ""bootstrap_episode005_independent_stochastic_retry"", ""bootstrap_episode004_independent_stochastic_retry"", ""bootstrap_episode007_independent_stochastic_retry"", ""bootstrap_episode018_independent_stochastic_retry"", ""bootstrap_episode013_independent_stochastic_retry"", ""bootstrap_episode011_independent_stochastic_retry""]","{""estimated_bias_std_norm"": 0.03322177325298944, ""estimated_drift_norm"": 0.00047637902521188274, ""estimated_drift_x"": 0.00035885615167230065, ""estimated_drift_y"": -0.00031330374729449106, ""final_object_goal_distance"": 0.21870551544821115, ""phase_inconsistency"": 0.0, ""progress_to_goal"": 0.03842328008827184, ""repeat_response_consistency"": 0.8034733369486355}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.15, ""confidence"": 0.8, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.75, ""confidence"": 0.7, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.65, ""confidence"": 0.58, ""predicted_status"": ""INCONCLUSIVE""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.24, ""confidence"": 0.72, ""predicted_status"": ""REJECTED""}}","Current evidence shows weak directional stability (dominant_axis_sign_agreement=0.5, only 4 probes) and very small drift magnitude, which alone would not strongly support BPC. However, the estimated drift is non-zero with near-zero estimation residual (3.19e-07) and moderate relative_bias_std (0.2446), not high variance. Memory strongly supports BPC (global accepted_probability=0.891, recent=0.798, 9 supporting vs 1 contradicting) while ISR is strongly contradicted by memory (6 global contradictions, accepted_probability=0.232). With sufficient budget (500) remaining, memory-weighted evidence favors BPC over abstention."
36,4334,HELPFUL,bias_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,REJECTED,ACCEPTED,0.042570622983540536,0.07303775800018827,0.51,0.7791136814434967,0.7610347719612968,2,0.2332504762899182,0.25785577801952264,6,"[""glm_online_memory_resonance_episode29"", ""glm_online_memory_resonance_episode26"", ""glm_online_memory_resonance_episode30"", ""bootstrap_episode014_bounded_planar_compensation"", ""glm_online_memory_resonance_episode32"", ""bootstrap_episode019_bounded_planar_compensation"", ""bootstrap_episode017_bounded_planar_compensation"", ""glm_online_memory_resonance_episode28"", ""glm_online_memory_resonance_episode31"", ""glm_online_memory_resonance_episode33""]","[""bootstrap_episode001_independent_stochastic_retry"", ""bootstrap_episode003_independent_stochastic_retry"", ""bootstrap_episode015_independent_stochastic_retry"", ""glm_online_memory_resonance_episode21"", ""bootstrap_episode005_independent_stochastic_retry"", ""bootstrap_episode004_independent_stochastic_retry"", ""bootstrap_episode011_independent_stochastic_retry"", ""bootstrap_episode018_independent_stochastic_retry"", ""bootstrap_episode013_independent_stochastic_retry"", ""bootstrap_episode007_independent_stochastic_retry""]","{""estimated_bias_std_norm"": 0.042570622983540536, ""estimated_drift_norm"": 0.0004696596690374334, ""estimated_drift_x"": 0.0003632069121558005, ""estimated_drift_y"": -0.00029775987587752663, ""final_object_goal_distance"": 0.07982769871628939, ""phase_inconsistency"": 0.0, ""progress_to_goal"": 0.16892012675329598, ""repeat_response_consistency"": 0.7583061588172563}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.05, ""confidence"": 0.8, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.75, ""confidence"": 0.7, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.76, ""confidence"": 0.68, ""predicted_status"": ""INCONCLUSIVE""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.25, ""confidence"": 0.6, ""predicted_status"": ""REJECTED""}}","Current evidence shows very small drift magnitude (~0.0004) with sign agreement 0.5 across only 4 probes—inconclusive for stable direction but not definitive rejection. Mean estimation residual is near-zero (3.19e-07), suggesting estimable bias. Memory strongly supports BOUNDED_PLANAR_COMPENSATION (8 support, 2 contradictions, 0.78 acceptance, 0.85 coverage) while INDEPENDENT_STOCHASTIC_RETRY has weak support (3 support, 6 contradictions, 0.23 acceptance). Select BOUNDED_PLANAR_COMPENSATION based on dominant memory evidence and small, precisely estimated drift."
39,4338,HELPFUL,bias_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,REJECTED,ACCEPTED,0.03399902756736642,0.0816093534163624,0.54,0.8987821313184383,0.8048868869760814,1,0.257018931877137,0.26507420243770463,6,"[""glm_online_memory_resonance_episode33"", ""glm_online_memory_resonance_episode22"", ""glm_online_memory_resonance_episode32"", ""glm_online_memory_resonance_episode28"", ""glm_online_memory_resonance_episode31"", ""glm_online_memory_resonance_episode30"", ""bootstrap_episode009_bounded_planar_compensation"", ""glm_online_memory_resonance_episode23"", ""bootstrap_episode006_bounded_planar_compensation"", ""glm_online_memory_resonance_episode25""]","[""bootstrap_episode015_independent_stochastic_retry"", ""bootstrap_episode003_independent_stochastic_retry"", ""bootstrap_episode005_independent_stochastic_retry"", ""glm_online_memory_resonance_episode21"", ""glm_online_memory_resonance_episode38"", ""bootstrap_episode001_independent_stochastic_retry"", ""glm_online_memory_resonance_episode37"", ""bootstrap_episode004_independent_stochastic_retry"", ""bootstrap_episode007_independent_stochastic_retry"", ""bootstrap_episode013_independent_stochastic_retry""]","{""estimated_bias_std_norm"": 0.03399902756736642, ""estimated_drift_norm"": 0.00043883563967681504, ""estimated_drift_x"": 0.000340849169787392, ""estimated_drift_y"": -0.0002764028981501552, ""final_object_goal_distance"": 0.2649050753998977, ""phase_inconsistency"": 0.0, ""progress_to_goal"": -0.003660413770380677, ""repeat_response_consistency"": 0.7858220773930293}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.25, ""confidence"": 0.6, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.7, ""confidence"": 0.6, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.8, ""confidence"": 0.76, ""predicted_status"": ""ACCEPTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.26, ""confidence"": 0.72, ""predicted_status"": ""REJECTED""}}","Probe responses show a stable directional drift: dominant_axis_sign_agreement=0.75, mean_estimation_residual~3.2e-7, and a consistent signed drift vector [0.00034, -0.00028]. Relative bias std (0.27) is moderate, not high enough to invalidate compensation. Memory strongly supports BPC (global accepted_probability=0.899, recent=0.805, 8-9 supporting episodes) while ISR is heavily contradicted (6 contradictions, accepted_probability~0.26). Sufficient budget (500) and probe samples (4) remain."
41,4349,HELPFUL,bias_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,REJECTED,ACCEPTED,0.1401496126212994,0.02454123163757059,0.49000000000000005,0.8036780423833289,0.7930305131339626,2,0.29669174795423514,0.3025457798918449,6,"[""glm_online_memory_resonance_episode27"", ""glm_online_memory_resonance_episode25"", ""glm_online_memory_resonance_episode28"", ""glm_online_memory_resonance_episode22"", ""glm_online_memory_resonance_episode23"", ""bootstrap_episode012_bounded_planar_compensation"", ""glm_online_memory_resonance_episode31"", ""glm_online_memory_resonance_episode40"", ""glm_online_memory_resonance_episode32"", ""glm_online_memory_resonance_episode35""]","[""glm_online_memory_resonance_episode38"", ""bootstrap_episode003_independent_stochastic_retry"", ""bootstrap_episode015_independent_stochastic_retry"", ""glm_online_memory_resonance_episode21"", ""bootstrap_episode001_independent_stochastic_retry"", ""bootstrap_episode005_independent_stochastic_retry"", ""glm_online_memory_resonance_episode37"", ""bootstrap_episode004_independent_stochastic_retry"", ""bootstrap_episode018_independent_stochastic_retry"", ""bootstrap_episode007_independent_stochastic_retry""]","{""estimated_bias_std_norm"": 0.1401496126212994, ""estimated_drift_norm"": 0.0008128449898872617, ""estimated_drift_x"": 0.000686059423655123, ""estimated_drift_y"": -0.0004359351382933283, ""final_object_goal_distance"": 0.17446355272306507, ""phase_inconsistency"": 0.0, ""progress_to_goal"": 0.0016523523489137548, ""repeat_response_consistency"": 0.6202782395238575}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.25, ""confidence"": 0.6, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.65, ""confidence"": 0.6, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.79, ""confidence"": 0.75, ""predicted_status"": ""ACCEPTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.3, ""confidence"": 0.65, ""predicted_status"": ""REJECTED""}}","Dominant-axis sign agreement of 0.75 indicates a stable directional drift across probe responses, and the mean estimation residual is negligible (~3e-7), supporting a bounded compensation. The relative_bias_std of 0.61 is moderate, not high enough to invalidate the stable-direction assumption. Memory strongly supports BOUNDED_PLANAR_COMPENSATION (accepted_probability ~0.79, 8 supporting records, mean_progress 0.125) over INDEPENDENT_STOCHASTIC_RETRY (accepted_probability ~0.30, 6 contradictions). Sufficient budget remains (500)."
46,4355,TIE,noise_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.47803338197344825,0.3624250009897194,0.26999999999999996,0.6729659725854938,0.8966000568075585,1,0.5550761880320559,0.5583322130988939,3,"[""bootstrap_episode002_bounded_planar_compensation"", ""glm_online_memory_resonance_episode27"", ""bootstrap_episode012_bounded_planar_compensation"", ""glm_online_memory_resonance_episode41"", ""bootstrap_episode008_bounded_planar_compensation"", ""glm_online_memory_resonance_episode35"", ""glm_online_memory_resonance_episode28"", ""glm_online_memory_resonance_episode23"", ""glm_online_memory_resonance_episode22"", ""glm_online_memory_resonance_episode25""]","[""glm_online_memory_resonance_episode44"", ""bootstrap_episode018_independent_stochastic_retry"", ""glm_online_memory_resonance_episode43"", ""bootstrap_episode004_independent_stochastic_retry"", ""bootstrap_episode011_independent_stochastic_retry"", ""glm_online_memory_resonance_episode21"", ""glm_online_memory_resonance_episode38"", ""bootstrap_episode010_independent_stochastic_retry"", ""glm_online_memory_resonance_episode37"", ""glm_online_memory_resonance_episode45""]","{""estimated_bias_std_norm"": 0.47803338197344825, ""estimated_drift_norm"": 0.0007644838080458941, ""estimated_drift_x"": -4.918821393212652e-05, ""estimated_drift_y"": -0.0007628997393986439, ""final_object_goal_distance"": 0.2335386960670951, ""phase_inconsistency"": 0.0, ""progress_to_goal"": -0.056398187049319676, ""repeat_response_consistency"": 0.3543455210396701}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.15, ""confidence"": 0.7, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.75, ""confidence"": 0.7, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.72, ""confidence"": 0.68, ""predicted_status"": ""ACCEPTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.45, ""confidence"": 0.5, ""predicted_status"": ""INCONCLUSIVE""}}","Dominant-axis sign agreement of 0.75 across 4 probes indicates moderate directional stability, and mean estimation residual is very small (4.4e-05), suggesting the drift model fits well. Although relative_bias_std (1.822) is elevated—likely inflated by the small drift magnitude (~7.6e-4) and limited sample size—the recent memory strongly supports BOUNDED_PLANAR_COMPENSATION with 9 supports vs 1 contradiction, accepted_probability 0.897, and positive global-recent acceptance delta (+0.224). INDEPENDENT_STOCHASTIC_RETRY has weaker memory support (5 supports, 3 contradictions) and lower mean progress. Budget remains sufficient (500 steps)."
51,4367,TIE,noise_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.39080347096546225,0.2751950899817334,0.37,0.8048892834698198,0.8986012169255404,1,0.30371821370829427,0.5701188265606477,5,"[""glm_online_memory_resonance_episode33"", ""glm_online_memory_resonance_episode28"", ""glm_online_memory_resonance_episode39"", ""glm_online_memory_resonance_episode32"", ""glm_online_memory_resonance_episode30"", ""glm_online_memory_resonance_episode22"", ""glm_online_memory_resonance_episode25"", ""glm_online_memory_resonance_episode40"", ""bootstrap_episode008_bounded_planar_compensation"", ""glm_online_memory_resonance_episode31""]","[""glm_online_memory_resonance_episode47"", ""bootstrap_episode013_independent_stochastic_retry"", ""glm_online_memory_resonance_episode21"", ""glm_online_memory_resonance_episode42"", ""glm_online_memory_resonance_episode38"", ""glm_online_memory_resonance_episode37"", ""bootstrap_episode004_independent_stochastic_retry"", ""bootstrap_episode015_independent_stochastic_retry"", ""bootstrap_episode003_independent_stochastic_retry"", ""bootstrap_episode001_independent_stochastic_retry""]","{""estimated_bias_std_norm"": 0.39080347096546225, ""estimated_drift_norm"": 0.0005950818171757611, ""estimated_drift_x"": 0.000264284583218445, ""estimated_drift_y"": 0.0005331754197318728, ""final_object_goal_distance"": 0.2152291524902591, ""phase_inconsistency"": 0.0, ""progress_to_goal"": 0.01978663575619527, ""repeat_response_consistency"": 0.380627461438936}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.22, ""confidence"": 0.62, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.68, ""confidence"": 0.6, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.72, ""confidence"": 0.62, ""predicted_status"": ""ACCEPTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.35, ""confidence"": 0.48, ""predicted_status"": ""REJECTED""}}","Dominant axis sign agreement of 0.75 across 4 probes indicates a stable directional tendency, and the mean estimation residual is negligible (2.3e-05). Although relative_bias_std (1.627) signals elevated variance, the directional consistency combined with strong recent memory support (9 supports, 0.899 accepted probability) favors bounded planar compensation over stochastic retry, which is contradicted by the repeatable drift direction."
53,4370,HARMFUL,noise_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,REJECTED,0.7066041946764758,0.590995813692747,0.43999999999999995,0.6869997925134307,1.0,1,0.6227152833073358,0.6314978277259213,3,"[""bootstrap_episode012_bounded_planar_compensation"", ""glm_online_memory_resonance_episode46"", ""glm_online_memory_resonance_episode41"", ""glm_online_memory_resonance_episode27"", ""glm_online_memory_resonance_episode28"", ""bootstrap_episode002_bounded_planar_compensation"", ""glm_online_memory_resonance_episode22"", ""glm_online_memory_resonance_episode25"", ""bootstrap_episode008_bounded_planar_compensation"", ""glm_online_memory_resonance_episode32""]","[""glm_online_memory_resonance_episode44"", ""glm_online_memory_resonance_episode48"", ""glm_online_memory_resonance_episode38"", ""glm_online_memory_resonance_episode21"", ""glm_online_memory_resonance_episode37"", ""glm_online_memory_resonance_episode52"", ""bootstrap_episode004_independent_stochastic_retry"", ""bootstrap_episode018_independent_stochastic_retry"", ""glm_online_memory_resonance_episode43"", ""glm_online_memory_resonance_episode45""]","{""estimated_bias_std_norm"": 0.7066041946764758, ""estimated_drift_norm"": 0.0007247387107770092, ""estimated_drift_x"": 0.0005400373053413693, ""estimated_drift_y"": -0.00048332795050395547, ""final_object_goal_distance"": 0.16683893454080212, ""phase_inconsistency"": 0.0, ""progress_to_goal"": 0.05980852967060976, ""repeat_response_consistency"": 0.19401743330774474}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.2, ""confidence"": 0.6, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.72, ""confidence"": 0.65, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.82, ""confidence"": 0.74, ""predicted_status"": ""ACCEPTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.38, ""confidence"": 0.61, ""predicted_status"": ""REJECTED""}}","Current evidence shows 75% dominant-axis sign agreement and very small mean estimation residual (3.14e-05), indicating a moderately stable directional drift despite elevated relative_bias_std. Recent memory for BOUNDED_PLANAR_COMPENSATION is unanimously supportive (10/10 accepted, 0 contradictions, accepted_probability 1.0 across episodes 32-51), while INDEPENDENT_STOCHASTIC_RETRY carries 3 recent contradictions. The combination of directional consistency and strong recent memory support favors bounded compensation over stochastic retry."
57,4380,TIE,noise_dominant,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.3836111636006252,0.26800278261689636,0.16999999999999993,0.686336127478798,0.8852747612668231,2,0.5420810400873278,0.7190497874800132,4,"[""bootstrap_episode012_bounded_planar_compensation"", ""glm_online_memory_resonance_episode46"", ""glm_online_memory_resonance_episode54"", ""glm_online_memory_resonance_episode53"", ""glm_online_memory_resonance_episode41"", ""bootstrap_episode002_bounded_planar_compensation"", ""glm_online_memory_resonance_episode27"", ""glm_online_memory_resonance_episode28"", ""glm_online_memory_resonance_episode26"", ""glm_online_memory_resonance_episode36""]","[""glm_online_memory_resonance_episode44"", ""glm_online_memory_resonance_episode48"", ""glm_online_memory_resonance_episode50"", ""glm_online_memory_resonance_episode38"", ""glm_online_memory_resonance_episode37"", ""glm_online_memory_resonance_episode45"", ""bootstrap_episode011_independent_stochastic_retry"", ""glm_online_memory_resonance_episode52"", ""glm_online_memory_resonance_episode21"", ""bootstrap_episode018_independent_stochastic_retry""]","{""estimated_bias_std_norm"": 0.3836111636006252, ""estimated_drift_norm"": 0.0008940053687493339, ""estimated_drift_x"": -7.870790466163409e-05, ""estimated_drift_y"": -0.0008905339213620151, ""final_object_goal_distance"": 0.119531337753626, ""phase_inconsistency"": 0.0, ""progress_to_goal"": 0.08650196101150644, ""repeat_response_consistency"": 0.4145402666671235}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.15, ""confidence"": 0.7, ""predicted_status"": ""REJECTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.75, ""confidence"": 0.7, ""predicted_status"": ""ACCEPTED""}}","{""BOUNDED_PLANAR_COMPENSATION"": {""accept_probability"": 0.72, ""confidence"": 0.62, ""predicted_status"": ""ACCEPTED""}, ""INDEPENDENT_STOCHASTIC_RETRY"": {""accept_probability"": 0.55, ""confidence"": 0.48, ""predicted_status"": ""INCONCLUSIVE""}}","Dominant-axis sign agreement of 0.75 and very small mean estimation residual (3.97e-06) indicate moderate directional consistency in the drift estimate. Although relative_bias_std (1.41) signals elevated variance, the drift direction is stable enough (both components negative, 75% sign agreement) to support a bounded correction. Recent memory strongly supports BPC (accepted_probability 0.885, 9 supporting records, only 1 recent contradiction), outweighing ISR which has more contradictions (3 recent) and lower acceptance. Sufficient budget (500) and 4 probe samples provide adequate evidence for selection."
