experiment_run_id,manifest_id,source_git_commit,unit_id,seed,episode_id,condition_id_oracle,initial_success,initial_steps,initial_final_object_goal_distance,operational,ineligibility_reason,probe_steps,evaluator_collection_steps
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,1,4000,,fault_01,True,186,0.04912573762191728,False,initial_success,0,186
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,2,4000,,fault_05,True,98,0.04808955441858147,False,initial_success,0,98
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,3,4001,1,fault_01,False,500,0.17890158604923212,True,,64,1123
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,4,4001,,fault_05,True,76,0.04924639050876118,False,initial_success,0,76
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,5,4002,,fault_01,True,65,0.04939097773834097,False,initial_success,0,65
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,6,4002,2,fault_05,False,500,0.2836153075036117,True,,64,1164
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,7,4003,,fault_01,True,56,0.04937688719109813,False,initial_success,0,56
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,8,4003,3,fault_05,False,500,0.2820640630583764,True,,64,906
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,9,4004,,fault_01,True,57,0.049192477096442304,False,initial_success,0,57
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,10,4004,,fault_05,True,96,0.04845308381602706,False,initial_success,0,96
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,11,4005,,fault_01,True,187,0.04672193162072979,False,initial_success,0,187
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,12,4005,,fault_05,True,88,0.04741255421197377,False,initial_success,0,88
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,13,4006,,fault_01,True,67,0.04862628982768216,False,initial_success,0,67
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,14,4006,,fault_05,True,112,0.04955282401869757,False,initial_success,0,112
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,15,4007,4,fault_01,False,500,0.6031419510814292,True,,64,1131
probemem_online_gate_a_collection_20260803T072303Z_b3a2f71691fb,c059684461ceebc6b77212190f66f1cbc92403aa566c98cf63011c9b03d09b7d,b3a2f71691fb5fc89d1c863a30a72111d2cff97a,16,4007,,fault_05,True,89,0.04948084726223874,False,initial_success,0,89
