unit_id,seed,regime_id_oracle,initial_success,initial_steps,operational,episode_id,ineligibility_reason,probe_steps,outcome_class
1,4200,A_bias_low_noise,False,500,True,1,,64,both_recover
2,4200,B_zero_mean_noise,True,112,False,,initial_success,0,not_operational
3,4200,C_bias_dominant_mixed,False,500,True,2,,64,both_recover
4,4200,D_noise_dominant_mixed,True,82,False,,initial_success,0,not_operational
5,4201,A_bias_low_noise,False,500,True,3,,64,exclusive_recovery
6,4201,B_zero_mean_noise,False,500,True,4,,64,both_recover
7,4201,C_bias_dominant_mixed,True,84,False,,initial_success,0,not_operational
8,4201,D_noise_dominant_mixed,True,111,False,,initial_success,0,not_operational
9,4202,A_bias_low_noise,False,500,True,5,,64,exclusive_recovery
10,4202,B_zero_mean_noise,False,500,True,6,,64,neither_recovers
11,4202,C_bias_dominant_mixed,True,68,False,,initial_success,0,not_operational
12,4202,D_noise_dominant_mixed,True,76,False,,initial_success,0,not_operational
13,4203,A_bias_low_noise,True,69,False,,initial_success,0,not_operational
14,4203,B_zero_mean_noise,False,500,True,7,,64,both_recover
15,4203,C_bias_dominant_mixed,True,69,False,,initial_success,0,not_operational
16,4203,D_noise_dominant_mixed,True,69,False,,initial_success,0,not_operational
17,4204,A_bias_low_noise,False,500,True,8,,64,exclusive_recovery
18,4204,B_zero_mean_noise,True,68,False,,initial_success,0,not_operational
19,4204,C_bias_dominant_mixed,False,500,True,9,,64,neither_recovers
20,4204,D_noise_dominant_mixed,True,74,False,,initial_success,0,not_operational
21,4205,A_bias_low_noise,True,182,False,,initial_success,0,not_operational
22,4205,B_zero_mean_noise,True,77,False,,initial_success,0,not_operational
23,4205,C_bias_dominant_mixed,True,59,False,,initial_success,0,not_operational
24,4205,D_noise_dominant_mixed,False,500,True,10,,64,exclusive_recovery
25,4206,A_bias_low_noise,True,241,False,,initial_success,0,not_operational
26,4206,B_zero_mean_noise,True,173,False,,initial_success,0,not_operational
27,4206,C_bias_dominant_mixed,True,58,False,,initial_success,0,not_operational
28,4206,D_noise_dominant_mixed,True,76,False,,initial_success,0,not_operational
29,4207,A_bias_low_noise,False,500,True,11,,64,exclusive_recovery
