stage,index,seed,environment_steps,process_rss_mb,system_available_mb,system_available_commit_mb
start,0,760,0,27.66796875,11761.34765625,10847.25
construction,1,760,4,115.9765625,11662.484375,10520.2578125
construction,2,761,4,115.671875,11666.69921875,10516.671875
construction,3,762,4,115.16796875,11656.0859375,10515.890625
construction,4,763,4,116.73828125,11660.6484375,10511.87890625
construction,5,764,4,116.515625,11671.70703125,10516.97265625
construction,6,765,4,116.3046875,11669.86328125,10511.203125
construction,7,766,4,116.1015625,11657.4765625,10502.32421875
construction,8,767,4,116.5,11664.66015625,10512.96484375
construction,9,768,4,115.921875,11665.9453125,10514.01171875
construction,10,769,4,116.28515625,11663.4375,10511.14453125
construction,11,770,4,118.91015625,11658.171875,10503.3984375
construction,12,771,4,116.30859375,11663.3828125,10511.48828125
construction,13,772,4,116.09765625,11661.85546875,10510.89453125
construction,14,773,4,118.328125,11657.890625,10505.55078125
construction,15,774,4,117.80078125,11655.08984375,10505.3671875
construction,16,775,4,116.59375,11653.73046875,10506.40234375
construction,17,776,4,117.984375,11651.79296875,10507.91015625
construction,18,777,4,119.71875,11651.89453125,10504.9453125
construction,19,778,4,119.09375,11647.15234375,10501.09765625
construction,20,779,4,141.359375,11624.4453125,10481.37890625
construction,21,760,4,143.52734375,11610.72265625,10465.8671875
construction,22,761,4,116.75390625,11596.26953125,10453.5625
construction,23,762,4,143.4140625,11576.27734375,10429.24609375
construction,24,763,4,143.140625,11585.234375,10437.33984375
construction,25,764,4,143.234375,11580.94921875,10437.1875
construction,26,765,4,143.4609375,11582.6015625,10437.15234375
construction,27,766,4,144.328125,11580.125,10438.1015625
construction,28,767,4,119.09765625,11609.19921875,10468.83203125
construction,29,768,4,143.15234375,11585.15625,10437.6328125
construction,30,769,4,142.95703125,11584.6875,10445.734375
construction,31,770,4,143.3828125,11584.29296875,10445.91796875
construction,32,771,4,144.2890625,11585.2421875,10447.46875
construction,33,772,4,141.640625,11589.71875,10445.7734375
construction,34,773,4,141.69921875,11592.37890625,10446.48046875
construction,35,774,4,144.28515625,11585.99609375,10445.96875
construction,36,775,4,144.4296875,11585.90625,10446.375
construction,37,776,4,142.94140625,11578.671875,10439.93359375
construction,38,777,4,144.46484375,11581.2265625,10439.96484375
construction,39,778,4,144.40234375,11582.71484375,10444.671875
construction,40,779,4,145.09375,11584.171875,10443.65625
construction,41,760,4,144.36328125,11587.71484375,10443.51953125
construction,42,761,4,117.3515625,11639.43359375,10498.55859375
construction,43,762,4,143.0703125,11613.359375,10475.3359375
construction,44,763,4,143.890625,11616.328125,10476.41796875
construction,45,764,4,143.984375,11612.49609375,10473.15234375
construction,46,765,4,144.12109375,11610.12109375,10471.65625
construction,47,766,4,117.3671875,11640.55078125,10503.68359375
construction,48,767,4,143.4453125,11621.61328125,10486.265625
construction,49,768,4,144.75,11622.15234375,10483.48046875
construction,50,769,4,144.625,11618.05078125,10480.36328125
construction,51,770,4,144.0703125,11616.125,10480.4296875
construction,52,771,4,117.74609375,11643.7578125,10507.9296875
