feature,decisive_cases,retry_only_positive_cases,compensation_only_negative_cases,posthoc_direction,exploratory_roc_auc,exploratory_average_precision,threshold_fitted,heldout_claim_eligible
probe_relative_bias_std,8,6,2,lower_favors_retry,0.9166666666666666,0.9761904761904762,False,False
phase_inconsistency,8,6,2,higher_favors_retry,0.8333333333333334,0.9583333333333334,False,False
probe_estimated_bias_std_norm,8,6,2,lower_favors_retry,0.8333333333333334,0.9583333333333334,False,False
estimated_drift_y,8,6,2,higher_favors_retry,0.75,0.9305555555555556,False,False
probe_dominant_axis_sign_agreement,8,6,2,higher_favors_retry,0.75,0.875,False,False
estimated_drift_x,8,6,2,higher_favors_retry,0.6666666666666666,0.8734126984126983,False,False
final_object_goal_distance,8,6,2,lower_favors_retry,0.6666666666666666,0.8734126984126983,False,False
normalized_residual_norm,8,6,2,higher_favors_retry,0.5833333333333334,0.8773809523809524,False,False
probe_mean_estimation_residual,8,6,2,lower_favors_retry,0.5833333333333334,0.8555555555555555,False,False
progress_to_goal,8,6,2,higher_favors_retry,0.5833333333333334,0.8555555555555555,False,False
temporal_uncertainty,8,6,2,higher_favors_retry,0.5833333333333334,0.8773809523809524,False,False
probe_estimated_bias_x,8,6,2,higher_favors_retry,0.5,0.8,False,False
probe_estimated_bias_y,8,6,2,higher_favors_retry,0.5,0.8551587301587301,False,False
