episode_id, seed, success, steps, episode_return    , elapsed_time_ms  , trajectory_path
         1,  100, True   ,    63, 196.04648523684057, 63.84940003044903, C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_001_seed_100.jsonl
         2,  101, True   ,    63, 192.30939421225133, 70.0161000713706 , C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_002_seed_101.jsonl
         3,  102, True   ,    54, 138.69793980503897, 52.78840009123087, C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_003_seed_102.jsonl
         4,  103, True   ,    67, 229.33998583751185, 65.62309991568327, C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_004_seed_103.jsonl
         5,  104, True   ,    58, 166.16031926596457, 54.53339987434447, C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_005_seed_104.jsonl
         6,  105, True   ,    61, 183.3789010859564 , 63.13550006598234, C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_006_seed_105.jsonl
         7,  106, True   ,    63, 200.31935118372616, 61.59939989447594, C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_007_seed_106.jsonl
         8,  107, True   ,    67, 234.20405948721253, 66.07739999890327, C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_008_seed_107.jsonl
         9,  108, True   ,    63, 183.46765937010505, 65.5861000996083 , C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_009_seed_108.jsonl
        10,  109, True   ,    62, 210.37212824984138, 61.12729990854859, C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\push_trajectories\episode_010_seed_109.jsonl
