schema_version,perturbation_type,perturbation_level,bias_axis,bias_direction,episode_id,seed,success,steps,episode_return,elapsed_time_ms,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,final_object_goal_distance,min_gripper_object_distance,object_displacement,progress_to_goal
2,action_bias,0.16,x,positive,1,230,False,500,347.3124225877098,663.0845000036061,20,0.04,20,0.01,0.2464889852480785,0.054109211032500326,0.00753816279161889,0.003003447421125266
2,action_bias,0.16,x,positive,2,231,False,500,204.42905212854063,603.5364998970181,39,0.078,39,0.0195,0.12350818257492419,0.045520576299926944,0.047524519861822885,0.03637136119637713
2,action_bias,0.16,x,positive,3,232,False,500,349.3513044267239,536.4391999319196,50,0.1,51,0.0255,0.17510704779980835,0.039717816150085475,0.011566985516964015,-0.009572481706507097
2,action_bias,0.16,x,positive,4,233,False,500,304.5063997623917,579.1003000922501,80,0.16,80,0.04,0.10022387673668609,0.04578579608731382,0.07404661947290804,0.059597243373727266
2,action_bias,0.16,x,positive,5,234,False,500,344.341582992108,646.0367001127452,21,0.042,21,0.0105,0.2489284838736552,0.05511020268574888,0.008069161969792583,0.004199299829151487
2,action_bias,0.16,x,positive,6,235,False,500,334.83503452669186,656.5901997964829,21,0.042,21,0.0105,0.24485144454810298,0.05565967597138222,0.007331299697628295,0.002712006599011635
2,action_bias,0.16,x,positive,7,236,False,500,146.14996443189833,644.7395998984575,48,0.096,48,0.024,0.16709427608202157,0.03942072697299003,0.0504447939835822,0.019067654188355265
2,action_bias,0.16,x,positive,8,237,False,500,230.3497867726098,622.9196998756379,94,0.188,94,0.047,0.12715700150939357,0.052821502954153624,0.05687857858452281,0.04247028139600639
2,action_bias,0.16,x,positive,9,238,False,500,215.82650916636922,622.2832000348717,67,0.134,67,0.0335,0.16762669563873872,0.05269911282055968,0.050428625990614116,0.04008203676814051
2,action_bias,0.16,x,positive,10,239,True,44,147.67819575831467,55.825799936428666,25,0.5681818181818182,25,0.14204545454545456,0.046469124277206376,0.03419793546196029,0.1493764203050698,0.14846694026453774
2,action_bias,0.2,x,positive,1,230,False,500,175.23535423147558,498.1152000837028,294,0.588,294,0.147,0.23682884131033,0.062329661927444255,0.0192345307023905,0.012663591358873766
2,action_bias,0.2,x,positive,2,231,False,500,170.4254073036634,526.2466000858694,269,0.538,269,0.1345,0.154887027664532,0.06343617705091753,0.01305292031872467,0.004992516106769318
2,action_bias,0.2,x,positive,3,232,False,500,148.25179763600252,503.80580010823905,243,0.486,243,0.1215,0.2042525651003043,0.05807182349953926,0.04158263101851151,-0.03871799900700304
2,action_bias,0.2,x,positive,4,233,False,500,162.74858170233196,524.0146999713033,283,0.566,283,0.1415,0.1611608709637028,0.06515898905528507,0.015219637043055801,-0.0013397508532894398
2,action_bias,0.2,x,positive,5,234,False,500,167.87929032721468,497.94579995796084,297,0.594,297,0.1485,0.24518645767950578,0.06158317518276665,0.012977687504720111,0.007941326023300915
2,action_bias,0.2,x,positive,6,235,False,500,163.14839716777325,603.083899943158,294,0.588,294,0.147,0.23906361314607572,0.06335239040380611,0.012727473504584972,0.0084998380010389
2,action_bias,0.2,x,positive,7,236,False,500,62.39065256460416,559.8889000248164,157,0.314,157,0.0785,0.17206994912875834,0.06220794513618011,0.0503906858407362,0.014091981141618498
2,action_bias,0.2,x,positive,8,237,False,500,190.02240257645525,512.9912002012134,284,0.568,284,0.142,0.17128715358426422,0.06378686369385328,0.01159157105345038,-0.0016598706788642503
2,action_bias,0.2,x,positive,9,238,False,500,176.43496335157073,505.9405001811683,287,0.574,287,0.1435,0.20756006966791044,0.06375271910078233,0.011500603510045098,0.00014866273896879667
2,action_bias,0.2,x,positive,10,239,False,500,184.6887157533622,524.3824999779463,297,0.594,297,0.1485,0.19087763512198624,0.049210202006494085,0.01223227815908337,0.00405842941975787
2,action_bias,0.24,x,positive,1,230,False,500,43.8603565634204,498.46969987265766,18,0.036,18,0.009,0.24951280956304014,0.08479296120113157,3.2621877966761526e-05,-2.0376893836382415e-05
2,action_bias,0.24,x,positive,2,231,False,500,45.18436802868819,482.5418998952955,0,0.0,0,0.0,0.1599130373985746,0.19217347887958527,3.356627162559454e-05,-3.349362727328442e-05
2,action_bias,0.24,x,positive,3,232,False,500,48.920800275085234,477.9579001478851,0,0.0,0,0.0,0.16553126387699485,0.19694960788156024,1.6882411929514976e-05,3.302216306400041e-06
2,action_bias,0.24,x,positive,4,233,False,500,36.36304009626261,484.6280000638217,0,0.0,0,0.0,0.15983401668900105,0.19247600874033932,2.0609763396071287e-05,-1.289657858769e-05
2,action_bias,0.24,x,positive,5,234,False,500,39.35109439585797,523.4322999604046,12,0.024,12,0.006,0.25312882203902465,0.10212314411553967,1.5150787117583975e-05,-1.0383362179511302e-06
2,action_bias,0.24,x,positive,6,235,False,500,35.83182508346986,530.3026000037789,10,0.02,10,0.005,0.24756713864855423,0.12193104259120603,3.975826194220747e-06,-3.6875014396142713e-06
2,action_bias,0.24,x,positive,7,236,False,500,35.40602409491416,506.19630003347993,0,0.0,0,0.0,0.18617485570360068,0.1920279128432486,1.2941297440556818e-05,-1.2925433223842653e-05
2,action_bias,0.24,x,positive,8,237,False,500,49.47053339651287,516.4844999089837,12,0.024,12,0.006,0.16965047319643245,0.1220291477440317,2.7145472957697978e-05,-2.3190291032482158e-05
2,action_bias,0.24,x,positive,9,238,False,500,41.80794578176793,527.41579990834,9,0.018,9,0.0045,0.2077252339630306,0.13125904544461653,1.7314681574983004e-05,-1.650155615137705e-05
2,action_bias,0.24,x,positive,10,239,False,500,45.61601037108132,498.82359988987446,18,0.036,18,0.009,0.19495080779540044,0.05785703274187121,1.7728618794643157e-05,-1.4743253656329669e-05
2,action_bias,0.16,x,negative,1,230,True,78,58.32912283203498,94.19940016232431,35,0.44871794871794873,35,0.11217948717948718,0.04789861877132334,0.035910178141731204,0.20365326446912646,0.20159381389788042
2,action_bias,0.16,x,negative,2,231,True,53,45.64998440716971,64.42720000632107,22,0.41509433962264153,22,0.10377358490566038,0.049655375083056515,0.03761524568643575,0.11130759932814507,0.1102241686882448
2,action_bias,0.16,x,negative,3,232,True,56,97.80752207209491,63.04399995133281,20,0.35714285714285715,23,0.10267857142857142,0.048598931485443295,0.0346842410298519,0.11727005149254856,0.11693563460785796
2,action_bias,0.16,x,negative,4,233,False,500,270.82505230612446,522.5906998384744,112,0.224,114,0.057,0.09576272591111966,0.04139562196452431,0.17071839610355236,0.0640583941992937
2,action_bias,0.16,x,negative,5,234,True,75,189.9632066802306,93.35189987905324,33,0.44,33,0.11,0.04897283458082797,0.03529540841037845,0.20906500185179824,0.20415494912197873
2,action_bias,0.16,x,negative,6,235,True,73,197.21253922513978,87.20669988542795,31,0.4246575342465753,31,0.10616438356164383,0.04968591041918313,0.03316985414659725,0.20242606311392738,0.19787754072793148
2,action_bias,0.16,x,negative,7,236,True,61,132.5305804025736,105.95100000500679,23,0.3770491803278688,23,0.0942622950819672,0.04903397244932703,0.034796110187037335,0.13917720786114218,0.1371279578210498
2,action_bias,0.16,x,negative,8,237,False,500,144.4957085041202,519.8402998503298,53,0.106,53,0.0265,0.28648602039283677,0.041047876884059885,0.31225391996905555,-0.1168587374874368
2,action_bias,0.16,x,negative,9,238,False,500,365.3914038952608,537.4832001980394,106,0.212,108,0.054,0.13712821711067066,0.04106829050290438,0.12039317724453759,0.07058051529620857
2,action_bias,0.16,x,negative,10,239,True,104,71.28828038021955,112.96700011007488,44,0.4230769230769231,44,0.10576923076923077,0.04664801669486881,0.03949910266820999,0.14916371586420513,0.1482880478468753
2,action_bias,0.2,x,negative,1,230,False,500,145.29262293808935,493.8452998176217,37,0.074,37,0.0185,0.24951606818708277,0.07067744896111985,2.997888823129127e-05,-2.3635517879011525e-05
2,action_bias,0.2,x,negative,2,231,False,500,145.45621462782603,472.82640007324517,61,0.122,61,0.0305,0.15988754538591884,0.06277328180704002,2.5812869566942645e-05,-8.001614617531017e-06
2,action_bias,0.2,x,negative,3,232,False,500,93.42724824704682,459.56340013071895,109,0.218,109,0.0545,0.1655312638940859,0.08102256024926463,1.6882409729559365e-05,3.302199215349244e-06
2,action_bias,0.2,x,negative,4,233,False,500,129.7504427632717,506.0710001271218,46,0.092,46,0.023,0.15981008527958854,0.09082520579343759,1.4414035361735654e-05,1.1034830824818709e-05
2,action_bias,0.2,x,negative,5,234,False,500,137.83946879212579,498.45019984059036,22,0.044,22,0.011,0.2531413801807406,0.09337665511940543,2.2358875374883195e-05,-1.3596477933919271e-05
2,action_bias,0.2,x,negative,6,235,False,500,125.66809677162128,516.4071000181139,54,0.108,54,0.027,0.2475671386485534,0.09145439720666046,3.975826193236039e-06,-3.687501438781604e-06
2,action_bias,0.2,x,negative,7,236,False,500,120.89881571829007,488.98649984039366,42,0.084,42,0.021,0.18615921409231131,0.09165152772137476,1.8038029813342112e-05,2.7161780655204915e-06
2,action_bias,0.2,x,negative,8,237,False,500,166.22958423149214,491.6455999482423,26,0.052,26,0.013,0.16961688273481892,0.09087044148081797,1.35776769490598e-05,1.0400170581043033e-05
2,action_bias,0.2,x,negative,9,238,False,500,167.7136321346648,490.29400013387203,13,0.026,13,0.0065,0.2077180294283347,0.10322648790670744,2.738759070784845e-05,-9.297021455467736e-06
2,action_bias,0.2,x,negative,10,239,False,500,146.27675172931504,496.41230003908277,50,0.1,50,0.025,0.19495386470680473,0.057479746632095874,2.2960102817475783e-05,-1.7800165060616324e-05
2,action_bias,0.24,x,negative,1,230,False,500,40.01282488977985,489.22770004719496,0,0.0,0,0.0,0.2495342491718124,0.18243935643049602,4.439414087021791e-05,-4.181650260864922e-05
2,action_bias,0.24,x,negative,2,231,False,500,44.83466875785494,471.99050011113286,9,0.018,9,0.0045,0.15988697570938518,0.15817586658945906,2.696617067066647e-05,-7.431938083862777e-06
2,action_bias,0.24,x,negative,3,232,False,500,48.0137898940635,465.3075998649001,7,0.014,7,0.0035,0.16553126389410064,0.18819394690163543,1.6882409728701832e-05,3.3021992006110334e-06
2,action_bias,0.24,x,negative,4,233,False,500,35.66126657552043,495.4721999820322,0,0.0,0,0.0,0.15981008527960475,0.1943066138757806,1.4414035739548432e-05,1.1034830808609453e-05
2,action_bias,0.24,x,negative,5,234,False,500,37.62358403679379,484.5052999444306,0,0.0,0,0.0,0.25312311576320795,0.18379693159036536,9.083106585875641e-06,4.667939598745896e-06
2,action_bias,0.24,x,negative,6,235,False,500,34.66871844868591,481.45690001547337,0,0.0,0,0.0,0.24756713864855343,0.18225516214856777,3.9758261934501994e-06,-3.6875014388093597e-06
2,action_bias,0.24,x,negative,7,236,False,500,34.56965870199315,500.2047000452876,0,0.0,0,0.0,0.18616411325047488,0.1914917703521034,1.1376397657988678e-05,-2.1829800980477376e-06
2,action_bias,0.24,x,negative,8,237,False,500,47.92496328411813,482.5522000901401,0,0.0,0,0.0,0.16963540373825184,0.19989915199075903,1.7940858829265785e-05,-8.120832851871151e-06
2,action_bias,0.24,x,negative,9,238,False,500,40.47594384954677,503.8368001114577,0,0.0,0,0.0,0.20772517853303188,0.19666813656038903,1.7555318019721082e-05,-1.6446126152647178e-05
2,action_bias,0.24,x,negative,10,239,False,500,38.55317299850457,469.8107000440359,15,0.03,15,0.0075,0.19492587946922388,0.0910678956297003,2.0540295096456063e-05,1.0185072520235705e-05
2,action_bias,0.16,y,positive,1,230,True,70,231.67561270864869,88.12259999103844,33,0.4714285714285714,33,0.11785714285714285,0.0486122824795184,0.03881300515170004,0.20165002956979164,0.20088015018968536
2,action_bias,0.16,y,positive,2,231,True,61,176.92712208349735,85.02190001308918,21,0.3442622950819672,21,0.0860655737704918,0.04354752189822808,0.03936022795867117,0.11648142127339872,0.11633202187307323
2,action_bias,0.16,y,positive,3,232,True,68,186.9738526741967,83.89759995043278,22,0.3235294117647059,23,0.08455882352941177,0.04474233455134148,0.039652051194702026,0.12357655683760271,0.12079223154195977
2,action_bias,0.16,y,positive,4,233,True,57,144.65304031996436,76.82409998960793,19,0.3333333333333333,21,0.09210526315789473,0.0457758989174068,0.039393860900452354,0.11416610223049353,0.11404522119300656
2,action_bias,0.16,y,positive,5,234,True,77,322.6055625634908,96.8261999078095,33,0.42857142857142855,33,0.10714285714285714,0.04920354024354599,0.03827014712095778,0.20747478855339938,0.2039242434592607
2,action_bias,0.16,y,positive,6,235,False,500,2659.3661003190573,561.7279999423772,30,0.06,30,0.015,0.5218056533279891,0.038795057013575905,0.48485431877636304,-0.2742422021808745
2,action_bias,0.16,y,positive,7,236,True,57,153.20669382233308,70.32940001226962,22,0.38596491228070173,22,0.09649122807017543,0.04711570862126309,0.038142944171112386,0.14209203958194402,0.13904622164911373
2,action_bias,0.16,y,positive,8,237,True,61,157.65871205038997,81.47659990936518,19,0.3114754098360656,19,0.0778688524590164,0.04857740321084943,0.03938060444822197,0.12239353201888525,0.12104987969455053
2,action_bias,0.16,y,positive,9,238,True,76,261.1425370243217,88.50879990495741,25,0.32894736842105265,25,0.08223684210526316,0.04821708777551748,0.03946142818219838,0.16217981821527241,0.15949164463136176
2,action_bias,0.16,y,positive,10,239,True,47,178.84461718640347,69.16100019589067,23,0.48936170212765956,23,0.12234042553191489,0.048466824341210545,0.03840735286995463,0.14673513417759007,0.14646924020053356
2,action_bias,0.2,y,positive,1,230,False,500,38.7955309633846,498.65210009738803,307,0.614,307,0.1535,0.24950528687104648,0.07838071839571874,2.544884600126315e-05,-1.2854201842715796e-05
2,action_bias,0.2,y,positive,2,231,False,500,40.81812428307549,502.8863998595625,303,0.606,303,0.1515,0.15989244364735156,0.07914291807162846,1.8874858023131924e-05,-1.2899876050243009e-05
2,action_bias,0.2,y,positive,3,232,True,122,199.81401574394823,136.59189990721643,50,0.4098360655737705,52,0.10655737704918032,0.047505864186627125,0.039590411510613224,0.12345562455974855,0.11802870190667412
2,action_bias,0.2,y,positive,4,233,True,110,131.07737066867867,129.64820000343025,48,0.43636363636363634,50,0.11363636363636363,0.0459343093685063,0.03751786002787846,0.11404704678118963,0.11388681074190705
2,action_bias,0.2,y,positive,5,234,False,500,38.35760095213922,512.8459997940809,314,0.628,314,0.157,0.253133327421141,0.08004154105779261,1.0674362980936168e-05,-5.543718334277692e-06
2,action_bias,0.2,y,positive,6,235,False,500,37.8060481435381,483.0547000747174,315,0.63,315,0.1575,0.24756713864855306,0.0728306707076561,3.9758261931202615e-06,-3.687501438448537e-06
2,action_bias,0.2,y,positive,7,236,False,500,40.93818050554374,497.5509000942111,293,0.586,293,0.1465,0.18532720547255715,0.06692418314556678,0.0008396666375203215,0.0008347247978196803
2,action_bias,0.2,y,positive,8,237,True,130,248.73555733074795,156.6504999063909,43,0.33076923076923076,43,0.08269230769230769,0.04492493323864195,0.039536605262971716,0.12497407647577558,0.12470234966675803
2,action_bias,0.2,y,positive,9,238,True,178,552.0019125864085,211.953200167045,49,0.2752808988764045,49,0.06882022471910113,0.04888736390558977,0.04006700167842332,0.16388541230226683,0.15882136850128947
2,action_bias,0.2,y,positive,10,239,True,51,200.95745716516757,69.16130008175969,22,0.43137254901960786,22,0.10784313725490197,0.04287698248455866,0.03867571476407883,0.1522249618564145,0.15205908205718546
2,action_bias,0.24,y,positive,1,230,False,500,23.916186562022766,488.8848001137376,0,0.0,0,0.0,0.24945176226743265,0.18241122823661723,4.262231639102344e-05,4.067040177110903e-05
2,action_bias,0.24,y,positive,2,231,False,500,26.096806460018314,474.1864998359233,11,0.022,11,0.0055,0.1598836825514476,0.10603368601145506,1.4702768563743393e-05,-4.13878014629554e-06
2,action_bias,0.24,y,positive,3,232,False,500,27.453194454107603,493.6955999583006,19,0.038,19,0.0095,0.16553126388837966,0.10053739408638389,1.688241024966e-05,3.3022049215902793e-06
2,action_bias,0.24,y,positive,4,233,False,500,23.141056510545884,490.7361001241952,15,0.03,15,0.0075,0.15981008509572847,0.10657516152209551,1.441418307725812e-05,1.103501468488477e-05
2,action_bias,0.24,y,positive,5,234,False,500,23.833296998538426,504.4766999781132,12,0.024,12,0.006,0.2531437654562983,0.10340123449724734,2.5631429360542172e-05,-1.5981753491600692e-05
2,action_bias,0.24,y,positive,6,235,False,500,23.001749415330597,505.43240015394986,18,0.036,18,0.009,0.24756713864855337,0.08625973960213684,3.975826193342074e-06,-3.6875014387538485e-06
2,action_bias,0.24,y,positive,7,236,False,500,22.99887493710775,491.3215001579374,21,0.042,21,0.0105,0.1861596834607354,0.09018811434449704,1.2675218646275952e-05,2.2468096414485217e-06
2,action_bias,0.24,y,positive,8,237,False,500,26.98818986615556,523.2430000323802,12,0.024,12,0.006,0.1696270453397967,0.12333552322173824,2.4807490705527503e-05,2.375656032727047e-07
2,action_bias,0.24,y,positive,9,238,False,500,24.756246598443788,494.3361999467015,14,0.028,14,0.007,0.20772768979001485,0.11450252747971804,2.0967797185494992e-05,-1.8957383135620454e-05
2,action_bias,0.24,y,positive,10,239,True,74,304.35571395090284,89.15469981729984,19,0.25675675675675674,19,0.06418918918918919,0.04732521115438509,0.039509416989018914,0.14778802415865028,0.14761085338735902
2,action_bias,0.16,y,negative,1,230,True,72,248.160991168994,92.20769978128374,33,0.4583333333333333,33,0.11458333333333333,0.04714439098987433,0.0353318619336656,0.20355017917826354,0.20234804167932943
2,action_bias,0.16,y,negative,2,231,True,65,140.30046204575456,89.76239990442991,22,0.3384615384615385,22,0.08461538461538462,0.049362236123121316,0.03275372322788518,0.11092667464815097,0.11051730764817999
2,action_bias,0.16,y,negative,3,232,True,64,135.45620854431817,75.45019988901913,18,0.28125,20,0.078125,0.0495281701618055,0.03638039413799025,0.1182719531230353,0.11600639593149575
2,action_bias,0.16,y,negative,4,233,True,65,154.104119271853,78.99370021186769,16,0.24615384615384617,19,0.07307692307692308,0.04684146875781927,0.037061831640582577,0.1193265889887042,0.11297965135259408
2,action_bias,0.16,y,negative,5,234,True,78,267.09987180013826,89.99659982509911,33,0.4230769230769231,33,0.10576923076923077,0.0480191725362467,0.03589679728628141,0.2089368830310007,0.20510861116655998
2,action_bias,0.16,y,negative,6,235,False,500,400.82467118022095,600.4110998474061,55,0.11,55,0.0275,0.09728248837624251,0.03599772719909369,0.17600007323523922,0.1502809627708721
2,action_bias,0.16,y,negative,7,236,True,69,180.54063198787674,91.19650023058057,23,0.3333333333333333,23,0.08333333333333333,0.04721996068118448,0.03766543420363856,0.14373878428993214,0.13894196958919236
2,action_bias,0.16,y,negative,8,237,True,65,143.16816481381778,72.55849987268448,20,0.3076923076923077,20,0.07692307692307693,0.04662414470499163,0.034952654837160514,0.12514822662269698,0.12300313820040834
2,action_bias,0.16,y,negative,9,238,True,74,220.63246567813223,84.88949993625283,27,0.36486486486486486,27,0.09121621621621621,0.04706976562643124,0.037143182042333994,0.16545000125156767,0.16063896678044798
2,action_bias,0.16,y,negative,10,239,True,47,166.56525246556168,57.86540010012686,23,0.48936170212765956,23,0.12234042553191489,0.04940854016239683,0.03327681547290266,0.14567141396211195,0.1455275243793473
2,action_bias,0.2,y,negative,1,230,False,500,156.64304599944342,533.3395998459309,138,0.276,138,0.069,0.2853742152941218,0.0629592121734273,0.04538367619677269,-0.03588178262491806
2,action_bias,0.2,y,negative,2,231,False,500,139.9316913848309,561.1755999270827,126,0.252,126,0.063,0.19207595913441405,0.06407740772592999,0.037782330040597535,-0.03219641536311274
2,action_bias,0.2,y,negative,3,232,False,500,136.15893141527567,489.47610007598996,172,0.344,175,0.0875,0.2444674641119399,0.03743607022292524,0.08474163742191156,-0.07893289801863865
2,action_bias,0.2,y,negative,4,233,False,500,116.17385036767843,525.2494001761079,56,0.112,56,0.028,0.16278706728963444,0.06428600432167486,0.005812277323420383,-0.002965947179221079
2,action_bias,0.2,y,negative,5,234,False,500,39.728897716571254,484.9199999589473,13,0.026,13,0.0065,0.25312307414592067,0.11467480095255858,9.09766336965851e-06,4.7095568860289205e-06
2,action_bias,0.2,y,negative,6,235,False,500,41.48015103314773,524.9773999676108,18,0.036,18,0.009,0.24756713864855165,0.10177261071987073,3.975826191690439e-06,-3.687501437033003e-06
2,action_bias,0.2,y,negative,7,236,False,500,115.593210187012,510.17169980332255,57,0.114,57,0.0285,0.19196367737009473,0.06427964699524531,0.005884108870660383,-0.005801747099717897
2,action_bias,0.2,y,negative,8,237,False,500,128.40559792004038,563.0560999270529,79,0.158,79,0.0395,0.17388030343217276,0.06472659718298072,0.0057790397312977295,-0.004253020526772788
2,action_bias,0.2,y,negative,9,238,False,500,122.53485039691715,502.7632999699563,58,0.116,58,0.029,0.2108923978960097,0.06479248127637412,0.0039022877923180423,-0.0031836654891304605
2,action_bias,0.2,y,negative,10,239,True,51,205.66248686122162,73.06699990294874,24,0.47058823529411764,24,0.11764705882352941,0.04772525066014955,0.03609893250321826,0.1474203820513614,0.14721081388159457
2,action_bias,0.24,y,negative,1,230,False,500,23.7385540169096,468.24699989520013,0,0.0,0,0.0,0.24945385998031827,0.18235828922280417,3.863416426324558e-05,3.8572688885490924e-05
2,action_bias,0.24,y,negative,2,231,False,500,25.392087248292537,474.5530001819134,0,0.0,0,0.0,0.15991301923249862,0.19120159590485236,3.359640097387851e-05,-3.34754611973076e-05
2,action_bias,0.24,y,negative,3,232,False,500,26.694536290450504,503.45869990997016,0,0.0,0,0.0,0.1655312638982836,0.19768685794667892,1.6882409474380234e-05,3.302195017651499e-06
2,action_bias,0.24,y,negative,4,233,False,500,22.410375082311006,481.36689979583025,0,0.0,0,0.0,0.15981008509331154,0.19628336835547278,1.4414182996073333e-05,1.1035017101812539e-05
2,action_bias,0.24,y,negative,5,234,False,500,23.100835695305346,524.4547000620514,0,0.0,0,0.0,0.25312220864457746,0.183781239474879,1.429883737199524e-05,5.575058229234653e-06
2,action_bias,0.24,y,negative,6,235,False,500,22.01682584242709,529.1091999970376,0,0.0,0,0.0,0.24756713864855326,0.18230455351255673,3.975826193339909e-06,-3.687501438642826e-06
2,action_bias,0.24,y,negative,7,236,False,500,22.064503129837263,492.2836998011917,0,0.0,0,0.0,0.1861695423347157,0.19404859474739602,2.515871407459252e-05,-7.612064338857749e-06
2,action_bias,0.24,y,negative,8,237,False,500,26.434105991225167,476.2120000086725,0,0.0,0,0.0,0.16961370934262643,0.19895130889852566,1.6716410031361455e-05,1.3573562773538939e-05
2,action_bias,0.24,y,negative,9,238,False,500,24.122019324085528,507.16880010440946,0,0.0,0,0.0,0.20770303852927904,0.1972727556371773,2.2895293353286287e-05,5.693877600188024e-06
2,action_bias,0.24,y,negative,10,239,True,70,278.1629964501872,97.83659991808236,28,0.4,28,0.1,0.0481015662419313,0.037375853204978736,0.14695696815912623,0.14683449829981282
