schema_version,perturbation_type,perturbation_level,bias_axis,bias_direction,episode_id,seed,success,steps,episode_return,elapsed_time_ms,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,final_object_goal_distance,min_gripper_object_distance,object_displacement,progress_to_goal
2,action_bias,0.185,y,positive,1,230,False,500,163.1260664278577,539.765200112015,288,0.576,288,0.144,0.24468658356809925,0.06681207398370052,0.011146687994794336,0.004805849101104515
2,action_bias,0.185,y,positive,2,231,False,500,157.51203438141488,504.6592000871897,294,0.588,294,0.147,0.15412460813621182,0.0669722806739409,0.010774123646144135,0.005754935635089498
2,action_bias,0.185,y,positive,3,232,True,125,209.4944507129903,135.234700050205,53,0.424,54,0.108,0.047689748130183694,0.03979597895454414,0.12177474503904047,0.11784481796311755
2,action_bias,0.185,y,positive,4,233,False,500,215.9891461058526,502.9007000848651,227,0.454,227,0.1135,0.14055769773071658,0.06267143582424285,0.025079552097552877,0.019263422379696776
2,action_bias,0.185,y,positive,5,234,False,500,149.35088856364223,507.07129994407296,292,0.584,292,0.146,0.24711336546760634,0.0671393824097119,0.009863097625960316,0.006014418235200353
2,action_bias,0.185,y,positive,6,235,False,500,155.33160747514304,502.2396999411285,294,0.588,294,0.147,0.23742764943243877,0.0666840939165253,0.012603921434747834,0.010135801714675846
2,action_bias,0.185,y,positive,7,236,False,500,298.60141858818156,566.1029000766575,78,0.156,78,0.039,0.17324797835821293,0.06238724836785015,0.022217401758612004,0.012913951912163907
2,action_bias,0.185,y,positive,8,237,False,500,156.3229608715303,487.2479001060128,293,0.586,293,0.1465,0.169504129730477,0.06658548281189977,0.005863343476465554,0.00012315317492297972
2,action_bias,0.185,y,positive,9,238,False,500,161.93900421911513,528.3218999393284,288,0.576,288,0.144,0.20576712780216982,0.06666548965744583,0.010931961588082129,0.001941604604709407
2,action_bias,0.185,y,positive,10,239,True,46,174.19068281390702,59.95599995367229,23,0.5,23,0.125,0.04536932413666758,0.03817058590844046,0.14975832442563344,0.14956674040507653
2,action_bias,0.1875,y,positive,1,230,False,500,173.87757430113518,493.22069995105267,300,0.6,300,0.15,0.24479248642960003,0.06500081251447319,0.007431457611013875,0.004699946239603736
2,action_bias,0.1875,y,positive,2,231,False,500,142.66384551331,500.7434000726789,295,0.59,295,0.1475,0.1556665597458543,0.06738378687233985,0.007594696380101912,0.0042129840254470086
2,action_bias,0.1875,y,positive,3,232,False,500,201.5788895097174,550.8373999036849,236,0.472,236,0.118,0.15386718087244988,0.06251297288927156,0.024839214699424936,0.011667385220851367
2,action_bias,0.1875,y,positive,4,233,False,500,140.0523738933981,490.8040000591427,299,0.598,299,0.1495,0.16016664215059645,0.06661313925092391,0.0038290863961363817,-0.00034552204018309385
2,action_bias,0.1875,y,positive,5,234,False,500,118.27991921823573,484.94220012798905,302,0.604,302,0.151,0.25200456360123435,0.06745773076844694,0.0019748559095703537,0.001123220101572342
2,action_bias,0.1875,y,positive,6,235,False,500,127.0113370950793,487.45490005239844,299,0.598,299,0.1495,0.24329563910030524,0.06733493010609133,0.005116445296908567,0.004267812046809372
2,action_bias,0.1875,y,positive,7,236,False,500,149.68504332676386,492.4279998522252,295,0.59,295,0.1475,0.17933341388017895,0.06646239578388088,0.0072777330409384425,0.006828516390197881
2,action_bias,0.1875,y,positive,8,237,True,115,160.01620883162184,140.55630005896091,52,0.45217391304347826,52,0.11304347826086956,0.043618934199649864,0.03905140324625401,0.12699021103653288,0.12600834870575012
2,action_bias,0.1875,y,positive,9,238,True,120,199.1500228369243,125.25280006229877,59,0.49166666666666664,59,0.12291666666666666,0.04613229303817796,0.037968615351698466,0.16548874289612844,0.16157643936870128
2,action_bias,0.1875,y,positive,10,239,True,53,211.08631881675498,73.65939998999238,22,0.41509433962264153,22,0.10377358490566038,0.04293669885947098,0.038511090506047826,0.15218538267368706,0.15199936568227312
